,t,p,v,q,R,fa,pwm
0,29.8,"[0.5510677937877357, -1.5728972902574108, 2.323744836865884]","[-0.1684103920565224, 0.007295856219019895, 0.03780357568001141]","[0.004850852996089958, -0.06864270334419893, -0.041875049235136304, -0.9967501429537686]","[[0.987069037782303, -0.08414387394899027, 0.13643298932603948], [0.08281197129628258, 0.996445617677523, 0.015419009998943136], [-0.13724550815821418, -0.003921343670258393, 0.9905290157296138]]","[-1.8703359178640644, -0.21137650330310812, 0.8417114800141974]","[1559.8342704205133, 1759.5028112615403, 1576.176974625648, 1706.1488620102446]"
1,29.810000000000002,"[0.5492337759989383, -1.572888952254605, 2.324174554988091]","[-0.16906115274108843, 0.00787394718803181, 0.04315979571344437]","[0.005338421621328659, -0.06916914227274759, -0.04231789844950362, -0.9966924603585251]","[[0.986849184509007, -0.08509436873495115, 0.13742890361732327], [0.08361735255640078, 0.9963609275036881, 0.016495714637461217], [-0.13833254675353138, -0.004787343683311615, 0.990373796076558]]","[-1.8784862732184198, -0.2254763932315405, 0.8834925253234438]","[1559.3122986722342, 1757.9368960167028, 1570.4352853945768, 1716.066325227549]"
2,29.82,"[0.547604832662656, -1.5728689984901814, 2.324548436074957]","[-0.17047741124542842, 0.007551661192434679, 0.04563965148208564]","[0.0057687983320954175, -0.0696640565706356, -0.04271615568417295, -0.9966387434092844]","[[0.9866443131643226, -0.08594890723540236, 0.13836695382737435], [0.08434139566199561, 0.9962839166516833, 0.017450377213486908], [-0.13935263737803188, -0.005547254469237701, 0.9902270950087988]]","[-2.2091624710716724, -0.4118218256410098, 0.8735548004446851]","[1559.0, 1756.6143278516129, 1569.1211968161288, 1721.4214917774193]"
3,29.830000000000002,"[0.5462813385544649, -1.5728317435681711, 2.3248391503941725]","[-0.17303384452672868, 0.005888303964125874, 0.043835291281270006]","[0.0061139902433210505, -0.07011201634062891, -0.04304799515880077, -0.9965909331124598]","[[0.986462044116118, -0.08665981169555216, 0.1392196095298159], [0.08494515496016748, 0.9962186720334244, 0.01822265796327391], [-0.14027238961939767, -0.0061499310032532934, 0.9900935421371114]]","[-2.2216738047387414, -0.4460690460829742, 0.724379479069345]","[1559.0, 1755.6542142816988, 1574.4018214506561, 1719.9813214225483]"
4,29.84,"[0.5447643387466444, -1.5727864560469196, 2.325189797471381]","[-0.17407075456204357, 0.005579282110856515, 0.04542693047774075]","[0.006497415588525483, -0.07063381359259936, -0.043396422915494795, -0.9965365540845859]","[[0.9862549348916162, -0.0874101179866362, 0.14021442520936914], [0.08557436902058196, 0.9961487733182243, 0.019080333975686647], [-0.14134228358831866, -0.006819314588491979, 0.9899370011166772]]","[-1.7695378570909892, -0.07013331321198968, 1.7767958874425958]","[1557.7775441914475, 1755.174636544079, 1575.904361471053, 1720.2224558085525]"
5,29.85,"[0.5428334962227233, -1.5727239895345901, 2.3256686202839747]","[-0.171857922452818, 0.008166721866672088, 0.05428145452533828]","[0.006962609213392877, -0.07131352404376745, -0.04378032735178495, -0.9964681267805937]","[[0.9859948698421134, -0.08824445797124199, 0.14151365681486178], [0.08625834517305538, 0.9960691514110785, 0.02012029517524086], [-0.14273295805720138, -0.007631777466258755, 0.9897313481140554]]","[-1.7651618326565055, 0.10971499733077866, 1.9858526921502229]","[1553.9406722024319, 1755.7227611139383, 1569.3268666327403, 1724.0593277975681]"
6,29.86,"[0.5408809253354147, -1.5726356193647535, 2.3261411474768883]","[-0.17303719192532446, 0.01021869460406569, 0.057018815218944675]","[0.007386026678432117, -0.07213445565826587, -0.04412673767336015, -0.9963904681991678]","[[0.9856979698374434, -0.08900049564877462, 0.14309632556988805], [0.08686934759307009, 0.995995622443483, 0.021084849564594898], [-0.14440001061663849, -0.008352616756423188, 0.9894832010126414]]","[-2.4239055947912647, -0.023913840446641632, 0.8302242961034079]","[1554.6743789896711, 1754.8856754209703, 1568.4515140738652, 1723.3256210103289]"
7,29.87,"[0.5389061164797596, -1.5725207380074242, 2.3266072313961574]","[-0.17768811944466517, 0.01172264177721179, 0.05349554400929671]","[0.007766688188810907, -0.07309992055876648, -0.04443477451409408, -0.9963033618350582]","[[0.9853626626774447, -0.08967651904076297, 0.14496917112836727], [0.08740554188233583, 0.9959292165579963, 0.02197231207972785], [-0.14634961528193163, -0.008979598131619934, 0.9891909181588371]]","[-2.660474764660333, -0.11003864454544712, 0.45321020342568197]","[1560.0858603673666, 1752.6308915135974, 1573.412038670086, 1717.9141396326334]"
8,29.88,"[0.5367852615340257, -1.572386614456451, 2.327116990109506]","[-0.1813994695541247, 0.012615856690790144, 0.05217559698720284]","[0.008092453134162429, -0.07402993090328437, -0.044689821722266654, -0.9962211573700216]","[[0.985044471354281, -0.09024005933035306, 0.14677706631326234], [0.08784372434491261, 0.9958743570979138, 0.0227405148829149], [-0.14822366746470841, -0.009506977226196912, 0.9889078560899597]]","[-2.3463980842702545, -0.3158007781575343, 1.2076895338884288]","[1560.9114946747864, 1751.1544252662607, 1577.463275798782, 1713.6911494674787]"
9,29.89,"[0.5342826334952367, -1.572202190676416, 2.3277409173104555]","[-0.18265470889924565, 0.011912581457755993, 0.056615269340241046]","[0.008274715220813248, -0.07486726094740628, -0.04480635090567244, -0.9961517667582687]","[[0.9847740974843564, -0.09050686176075731, 0.14841678894256566], [0.08802884070594891, 0.9958473691839194, 0.023194801903981373], [-0.14989982811787872, -0.009776686842557242, 0.9886523738233498]]","[-2.2110440033564784, -0.3775344735849083, 1.6506727535706265]","[1549.7494542738918, 1751.7125272863054, 1579.1375818589163, 1712.5749454273891]"
10,29.900000000000002,"[0.5322830586496632, -1.5720348141757299, 2.328245758923828]","[-0.18454202249482574, 0.012215120255173358, 0.060259070753351074]","[0.00841034332817279, -0.07561381376505115, -0.044888005035710256, -0.9960906491933508]","[[0.9845349334571469, -0.09069692042226325, 0.1498813786150957], [0.08815316788579687, 0.9958283633715431, 0.02354323519750695], [-0.151391472749764, -0.009966622185287455, 0.9884233316995233]]","[-2.37108039448224, -0.19324438970932412, 1.4786115911355857]","[1544.0, 1753.6278324440304, 1581.1627374600218, 1711.7674525079956]"
11,29.91,"[0.5308178459858387, -1.5718855459417413, 2.3286241033093718]","[-0.18710074933269769, 0.013586072864477727, 0.06305746786809548]","[0.008496435053985002, -0.07626393956971267, -0.04493261356131169, -0.9960383195725633]","[[0.9843293952254193, -0.09080515303025473, 0.15116007836014128], [0.08821326659219432, 0.9958173933655516, 0.023779026037755537], [-0.15268714649185922, -0.010072073536359033, 0.9882228959310665]]","[-2.426125407081029, -0.06758851424410633, 1.3631449094082946]","[1544.0, 1756.984810250906, 1583.5605787506472, 1711.2878842498706]"
