,t,p,v,q,R,fa,pwm
0,26.3,"[0.5158021773500422, -1.5731749989290913, 2.333022596373056]","[0.04715021697617077, 0.06636100747707349, 0.02034923641507714]","[0.011925809503651923, -0.03213823637077515, -0.0014319325128936075, -0.9994066608704755]","[[0.9979209820568457, -0.003628714752088143, 0.0642041810864232], [0.0020956168131233345, 0.9997022646662586, 0.023929506479577044], [-0.06427248890390663, -0.023745427337311557, 0.9976406330536539]]","[-0.9057955360187707, -0.33759857662784903, 0.3459401217522817]","[1592.197874797378, 1743.0962808954114, 1592.7005313006555, 1737.3047817058996]"
1,26.310000670286215,"[0.5162204752014449, -1.5724919790995489, 2.3331517094764838]","[0.038920377125855166, 0.0685083571705061, 0.021574710452874093]","[0.01201118972543466, -0.028909187254066264, -0.0012915873685191363, -0.999506008587315]","[[0.998319120575145, -0.0032763661367341255, 0.05775878572576959], [0.0018874312050672962, 0.9997020654332855, 0.024085190083891345], [-0.05782083972949062, -0.023935835119525316, 0.9980339196137653]]","[-0.8150591333760036, -0.3398765038132427, 0.3370129664389605]","[1588.4137168465738, 1742.7905037216026, 1591.8063308522649, 1741.1936691477351]"
2,26.320001340572425,"[0.5165508564612483, -1.571772483496067, 2.3333435259734667]","[0.028696418372900545, 0.07044393079883218, 0.022314150579888253]","[0.012194087005960065, -0.025709291083183063, -0.0012026582644173904, -0.9995904338554366]","[[0.998667317178308, -0.003031334057277386, 0.05136819221687985], [0.001777328727957836, 0.9996918609584898, 0.02444002442430413], [-0.051426853494938814, -0.02431634645873012, 0.9983728184362921]]","[-2.2531267548912055, -0.11277034297482522, 0.4376671472360112]","[1581.7349318888444, 1747.4142779231076, 1588.7238147179282, 1744.2761852820718]"
3,26.33000201085864,"[0.5167855701529765, -1.571059575711404, 2.3335261001787746]","[0.018466606058293547, 0.07152447756708977, 0.02328746760101044]","[0.012281003145924995, -0.02264399101674942, -0.0010918395807879011, -0.9996645554818309]","[[0.9989661040821199, -0.002739128508197605, 0.04524597265753375], [0.0016267648085456176, 0.9996899586639127, 0.024603214312802338], [-0.04529960819883976, -0.024504319890165965, 0.9986668422329198]]","[-2.1385786235393383, -0.28952153596695795, 0.4677517191723837]","[1578.0, 1747.8914814056532, 1587.0, 1748.3193704537816]"
4,26.34000268114485,"[0.5168989082724966, -1.5703550260390564, 2.333696948482994]","[0.008229367199785459, 0.07152023273374146, 0.02455750944141708]","[0.012246145877292924, -0.01974945602277918, -0.0009532491005713636, -0.9997256046487107]","[[0.9992103029820347, -0.0023896845058033627, 0.03946472647262609], [0.001422265627994822, 0.9996904488307302, 0.024523223485966947], [-0.039511420982798064, -0.024447918881204993, 0.9989121841720343]]","[-2.0844392856398777, -0.3171427262897948, 0.5239409611090302]","[1578.0, 1743.1078383563963, 1587.0, 1753.5813778079641]"
5,26.350003351431063,"[0.5169360880626442, -1.5696304997625168, 2.333893607344975]","[-0.0024322011952500073, 0.07237186094712635, 0.02651406605008513]","[0.012261955527520801, -0.016921366985614385, -0.0008448444559240574, -0.9997792120973883]","[[0.9994217820726169, -0.002104293947862126, 0.033814543014684194], [0.0012743377500922769, 0.9996937362872228, 0.024547088318324826], [-0.033855980795269046, -0.02448990462598702, 0.9991224984902085]]","[-2.1108552786728603, -0.07771447343213456, 0.6940050967335569]","[1578.5296700734186, 1740.5296700734186, 1588.059340146837, 1755.0578763974654]"
6,26.360004021717273,"[0.5168320295699588, -1.5688689261755118, 2.3341381327881576]","[-0.013880703542058335, 0.07481073563032438, 0.02974378828367335]","[0.012371728749102806, -0.014216504297004289, -0.000792420498048721, -0.999819018619642]","[[0.9995883927411129, -0.0019363196392323033, 0.028408255525951328], [0.0012327886995403372, 0.9996864913854836, 0.024761510291943845], [-0.028447469971779677, -0.024716448494281666, 0.9992835292571216]]","[-2.0832269884731844, -0.04439772792893604, 0.7545873704750168]","[1580.0416318049377, 1742.0416318049377, 1591.0832636098755, 1749.5140167152283]"
7,26.370004692003487,"[0.5166396878639067, -1.5681016287478664, 2.3343709113513964]","[-0.025124857699439146, 0.07586256301737937, 0.03222954824464496]","[0.01244573561243203, -0.011628542403035147, -0.0007260949589365858, -0.9998530019394218]","[[0.9997251716098995, -0.001741427977383914, 0.02323559248793221], [0.001162524920159392, 0.9996858249368687, 0.024904699078906314], [-0.02327173963148599, -0.02487092537483182, 0.9994164333678092]]","[-1.9387380111201111, -0.4049345791605793, 0.5798076517423176]","[1581.1791603330337, 1742.1041983348316, 1592.8208396669663, 1747.254122331236]"
8,26.380005362289698,"[0.5162945123216974, -1.5673244223410487, 2.3345833539905536]","[-0.036015249046066865, 0.07451316653506322, 0.0334273781026643]","[0.012457824592069807, -0.00924295643324987, -0.0006357033272113709, -0.9998769042671435]","[[0.999823184718066, -0.0015015444096039973, 0.01846779836842193], [0.0010409558897737168, 0.9996836544181863, 0.02492433373035947], [-0.018499476290593907, -0.024900830617727927, 0.9995135981683729]]","[-1.911314292458567, -0.5240113823314347, 0.4110477657797986]","[1581.6684788483592, 1739.6576057582038, 1592.3315211516408, 1750.6793519385149]"
9,26.39000603257591,"[0.5158491161763299, -1.5665146057052024, 2.3348240449983027]","[-0.04803285992340226, 0.07433423498202267, 0.033611113040009105]","[0.012474575553961868, -0.006923316134908754, -0.0005486303929947903, -0.9998968923617062]","[[0.9999011770882369, -0.00126987851043911, 0.013831516713688617], [0.0009244167896035798, 0.9996858116303418, 0.024954175343179404], [-0.01385889243884307, -0.02493898197657172, 0.9995905490083502]]","[-2.194617272846215, -0.1834127242084799, 0.11885972054397342]","[1582.5066557301295, 1739.8577376771416, 1591.4933442698705, 1750.8044918361054]"
