,t,p,v,q,R,fa,pwm
10,27.200000000000003,"[0.7564849258363747, -1.6172203733753938, 2.3040360650853815]","[-0.010573942021379559, -0.0035245618911305785, 0.009200941388312952]","[0.015629212008755555, -0.02916534254966307, 0.037843471519791685, -0.9987356797223723]","[[0.9954344846758152, 0.07467958785871345, 0.0594398637104074], [-0.0765029131467801, 0.9966471745518644, 0.0290114677378928], [-0.05707400915228689, -0.03342633897846537, 0.9978101968131246]]","[-0.6443523357073495, -0.35030226830440475, 1.3982575434071673]","[1539.4413723727657, 1603.2345105089366, 1699.1172552544683, 1787.6482342365948]"
11,27.21,"[0.7563733687688927, -1.6172471663556691, 2.3041708858596204]","[-0.00967077422076855, -0.003238440149747524, 0.013006705186686528]","[0.015675300963234245, -0.029307977767019426, 0.03775380057846578, -0.9987342018004123]","[[0.995431413887284, 0.07449320102708831, 0.05972536393620351], [-0.07633084651557553, 0.9966578988882921, 0.029097943295045652], [-0.05735815518991, -0.03352389348694229, 0.9977906826829451]]","[-0.7470285734436528, -0.39127596852339364, 0.692956019666072]","[1538.8838234842594, 1604.8257352263893, 1700.2323530314811, 1785.0]"
12,27.220000000000002,"[0.7562658371264009, -1.6172670020024988, 2.304276912121066]","[-0.009562044820305008, -0.0033291989138847923, 0.009805600744218084]","[0.015650297398254128, -0.029461974929119377, 0.03765033854039335, -0.9987339722096115]","[[0.9954289230953125, 0.0742831669918061, 0.06002782849080297], [-0.0761275216701286, 0.9966750754114531, 0.029042460713340337], [-0.05767087250959456, -0.03347947403394004, 0.9977741554624173]]","[-0.8120475083812846, -0.4313546855837568, 0.07196992793415191]","[1537.8933861566572, 1603.340079234986, 1702.2132276866853, 1785.0]"
13,27.23,"[0.7561553008186891, -1.6172853893027521, 2.3043833515956846]","[-0.009722426879305735, -0.0031047296701599367, 0.006987706612912343]","[0.01563129272873855, -0.029613317430618926, 0.037544164124883095, -0.9987338193196543]","[[0.9954270663361127, 0.07406746399236275, 0.06032537087979837], [-0.075919041726071, 0.9966922888498628, 0.02899938687595835], [-0.05797791560103096, -0.03344661587554802, 0.997757520231042]]","[-1.0473918221970155, -0.14574775065318657, 0.47365827036995434]","[1537.1483923088797, 1602.1978564118394, 1703.4064307644815, 1784.7526794852006]"
14,27.240000000000002,"[0.756017105634872, -1.6172904441231502, 2.304493594825833]","[-0.01236006346438389, 2.1511243851381028e-05, 0.0076973823578734965]","[0.0156675097542432, -0.029740222957191892, 0.03741302143303945, -0.998734372484774]","[[0.9954316026101622, 0.07379943050082176, 0.06057750358189234], [-0.07566325143392245, 0.9967096226094505, 0.029070017847764733], [-0.058232828068940916, -0.0335207042434479, 0.9977401292318617]]","[-1.2619582467372945, 0.10122604006618435, 0.7780856522928872]","[1538.6627818872144, 1604.2170425162856, 1697.348872451143, 1782.228696854643]"
15,27.25,"[0.75587696083894, -1.6172931255362217, 2.304603800822947]","[-0.014643448472631724, 0.0027330951722735622, 0.00849527616975857]","[0.015697377060969155, -0.029846313525541113, 0.037274369163423894, -0.9987359241333956]","[[0.9954396727735859, 0.07351748539126238, 0.06078739069674879], [-0.07539152074042366, 0.9967284623425272, 0.029130063753878166], [-0.05844695138687669, -0.033580073787951414, 0.9977256146734599]]","[-0.9714653534574341, -0.24033444793870018, 0.8287176146153481]","[1540.0622865939329, 1606.1245731878657, 1691.8754268121343, 1780.2491463757317]"
16,27.26,"[0.75572210116426, -1.6172778934367762, 2.3047137258002692]","[-0.014253086760135739, 0.0023150169397748058, 0.009959004045842134]","[0.015679319274703018, -0.029795301260951278, 0.03707903765720013, -0.9987450119291056]","[[0.9954748248953724, 0.07313066773180738, 0.06067856516625211], [-0.07499934789723303, 0.9967586627439979, 0.02910972163718217], [-0.0583530688869482, -0.03352884602703191, 0.9977328528567043]]","[-0.7554202669410635, -0.4973238116512142, 0.8160587786385403]","[1540.5946870480918, 1607.1893740961839, 1690.8106259038161, 1782.3787481923678]"
17,27.270000000000003,"[0.7555634728017069, -1.6172563017329107, 2.304824022301128]","[-0.014101903211248323, 0.00201792371776516, 0.009681483057826495]","[0.015679171856821064, -0.029741997643107174, 0.03687897471026612, -0.9987540350692546]","[[0.9955108137977506, 0.07273338981736767, 0.06056634387891834], [-0.07459870938701345, 0.9967883137851243, 0.029125563559262782], [-0.05825341674937586, -0.03351298107491456, 0.9977392584888801]]","[-0.8722520819509526, -0.4171012432275006, 0.17697599173748202]","[1540.1219976227082, 1608.3292508914844, 1690.439001188646, 1784.0]"
18,27.28,"[0.7553928251769949, -1.6172144277039178, 2.304935503680898]","[-0.01471351699338939, 0.002106681117330641, 0.0038506959766534633]","[0.015736144959454326, -0.02968138634248627, 0.03666382204823759, -0.9987628520070964]","[[0.9955496402651373, 0.07230278575259103, 0.060443226586929535], [-0.07417106814492275, 0.9968163571391913, 0.02925688790459158], [-0.05813543771285472, -0.033609820172615205, 0.997742859443137]]","[-0.9331939723627654, -0.3989305213278479, -0.35879013511229196]","[1536.4438321371706, 1609.708562948561, 1692.2780839314148, 1784.0]"
19,27.290000000000003,"[0.755224524936862, -1.6171729626059304, 2.305043546903667]","[-0.015350034269513313, 0.0023058264603025634, -0.0015617492618167203]","[0.015787584381961983, -0.02963059346304531, 0.036454506690595814, -0.9987712456327474]","[[0.9955863457963806, 0.07188383512341653, 0.06033942668480778], [-0.0737550171017583, 0.99684379429309, 0.02937603330211874], [-0.05803731228288546, -0.03369670797269838, 0.9977457122712549]]","[-0.9584606240861696, -0.25634620746896253, 0.24046603766356078]","[1533.1970378533747, 1610.7701225043963, 1693.9014810733127, 1784.0]"
20,27.3,"[0.7550907225541964, -1.61713750727885, 2.3051010619551207]","[-0.016352540652617948, 0.004127265641116523, -0.0008261191526623963]","[0.015757699206045552, -0.029724095002778034, 0.03633097808324702, -0.9987734181373505]","[[0.9955931840698156, 0.07163606363250419, 0.06052025718292239], [-0.07350959702540699, 0.9968636175487475, 0.029316931307824097], [-0.058230286684933436, -0.03363655308418522, 0.9977364538382498]]","[-0.9916437683044486, -0.11743427932169348, 0.7701894828928548]","[1536.2898022280274, 1607.1618974006349, 1692.3550988859863, 1784.0]"
21,27.310000000000002,"[0.7549518119849546, -1.6171001891024577, 2.3051596968720944]","[-0.017337863066387103, 0.005825344945914984, -0.0006234238382049257]","[0.015720330834427573, -0.029802941535923028, 0.03620130440086944, -0.99877636281082]","[[0.9956026019466366, 0.07137699007544779, 0.0606711400602644], [-0.07325103847858305, 0.9968847749919362, 0.02924437898881818], [-0.05839475413298646, -0.03356000042315124, 0.9977294132241977]]","[-0.9810904928862162, -0.22362752934031424, 0.31985582122594103]","[1539.5145214045788, 1604.192945526717, 1690.807054473283, 1784.2572607022894]"
22,27.32,"[0.7547767137407296, -1.6170496740342841, 2.3052262651973074]","[-0.01820144993115287, 0.0066495119468509695, -0.004196172284577401]","[0.01562994962746172, -0.02977796832650804, 0.03602809746562882, -0.9987847777222213]","[[0.9956305763303366, 0.07103777434802228, 0.06060979764914348], [-0.07289948692782816, 0.9969154404749316, 0.029076224438556057], [-0.05835732825489924, -0.03336759861933942, 0.9977380332936083]]","[-0.9597137035248442, -0.28974503818207453, 0.003332421674894448]","[1543.6740414957883, 1605.7527655609206, 1689.2472344390794, 1786.337020747894]"
23,27.330000000000002,"[0.7546012660223709, -1.6169959149619186, 2.3052834644721987]","[-0.018744147368332006, 0.007628622462418451, -0.007061995297321197]","[0.015555197739438902, -0.029796306341769458, 0.03583066173559982, -0.9987924966270609]","[[0.9956567593032071, 0.07064781730729663, 0.060635360459585695], [-0.07250176705550113, 0.9969484706930061, 0.028937586824399092], [-0.05840594834585689, -0.03320807231840809, 0.9977405035906028]]","[-0.8219525131565826, -0.20650742091539206, 0.3268363349150576]","[1547.9914391752716, 1606.9008560824727, 1687.3059925773098, 1787.7025682474184]"
24,27.34,"[0.75442442388219, -1.6169292121269108, 2.3053032806993596]","[-0.018006477599008225, 0.009225966481301353, -0.007107145315416078]","[0.015542807729727773, -0.029987458625690838, 0.03553655172579375, -0.9987974384258309]","[[0.9956758076947372, 0.07005545506097512, 0.061007469302184265], [-0.07191981227586423, 0.9969911453001457, 0.028916931343640685], [-0.05879811813877812, -0.033179534841948535, 0.9977183429676106]]","[-0.7296044451293784, -0.16683662689662912, 0.5755703043193936]","[1552.9387774800525, 1606.4061222519947, 1683.8428557639634, 1786.2183667559843]"
25,27.35,"[0.7542488070827174, -1.616859256358814, 2.305326925895537]","[-0.01755465103621404, 0.010424990292647556, -0.006709120188459758]","[0.015541030762600199, -0.03015620272087338, 0.035242044886636216, -0.9988028644266547]","[[0.9956972873337202, 0.06946239381371339, 0.061335598723118716], [-0.07133702771038658, 0.9970330331844769, 0.028919319583856632], [-0.05914480790823811, -0.03317038458345471, 0.9976982435149755]]","[-0.8881104933210027, -0.37178865816932744, 0.7684204895486761]","[1555.0941974663506, 1606.544515009614, 1683.0873075368543, 1784.8184949967954]"
26,27.360000000000003,"[0.7540788062324966, -1.6167743918334843, 2.305368119921637]","[-0.01841289352692323, 0.009798443422729017, -0.004279946412347696]","[0.015587895212636338, -0.030222246195781316, 0.03494571930965016, -0.998810509609574]","[[0.9957308291205097, 0.06886610101110893, 0.061462054670166744], [-0.07075050583827028, 0.9970716324964263, 0.02902643085721805], [-0.05928313382725063, -0.033250983387077715, 0.9976872707623271]]","[-0.9922434121680608, -0.5031420467447842, 0.9238227215037114]","[1544.4537709696797, 1609.5846368658058, 1694.7411079855888, 1783.8051210447313]"
27,27.37,"[0.7539088602785422, -1.6166890970830503, 2.3054057427185954]","[-0.01913155397586124, 0.009726150958587058, -0.002669015924671545]","[0.01560665718034172, -0.030274638898469076, 0.03465294599151023, -0.9988188500834002]","[[0.9957652826039475, 0.06827905951339076, 0.061559393319274916], [-0.07016900315557893, 0.9971112546281234, 0.02907823590370727], [-0.05939612672576133, -0.03327465761035176, 0.997679800439039]]","[-0.9177391553599956, -0.2446470629099819, 0.5735684766421123]","[1536.6008283355554, 1612.9012425033332, 1702.0973769374077, 1783.3004141677777]"
28,27.380000000000003,"[0.753739126557588, -1.6166021390507457, 2.305429558881235]","[-0.01931057999310762, 0.011796646760609137, -0.004221474124668315]","[0.015516772886040319, -0.03027425671252706, 0.03437390596713262, -0.9988298786029711]","[[0.9958038005998897, 0.06772785111711811, 0.061544408498133384], [-0.06960688617992596, 0.9971553213572878, 0.028915943849224572], [-0.05941092012974097, -0.03307852166306953, 0.9976853909411704]]","[-0.8747148977508303, -0.07341173741446294, 0.2978346799189957]","[1539.5245031726265, 1617.2867547589397, 1692.8390732866828, 1784.7622515863131]"
29,27.39,"[0.7535665455093254, -1.6165126258439075, 2.305455845950938]","[-0.01955509940894895, 0.013441055309005282, -0.006066668542568919]","[0.015436166064800222, -0.030246194078652557, 0.034081377010687676, -0.9988420230353435]","[[0.9958472896889297, 0.06715005257311854, 0.06147451095578998], [-0.06901759367162358, 0.9972004037558565, 0.02877491879308317], [-0.05937016777477382, -0.032898246567215114, 0.9976938197612587]]","[-0.916382354785537, -0.33966770828465526, 0.14310952131613774]","[1541.5359671587544, 1621.0, 1684.6133059656286, 1786.5413716481198]"
30,27.400000000000002,"[0.7533782373402179, -1.6164089992126836, 2.305495780996364]","[-0.020161369506279055, 0.012731984610956587, -0.009528782048425163]","[0.015406803067737866, -0.03006523938056545, 0.03371434237164519, -0.9988603311761981]","[[0.9959187552776291, 0.06642541992881694, 0.06110081039608301], [-0.06827825681810003, 0.9972518533541144, 0.02875122928129051], [-0.0590230894621701, -0.03280574837713793, 0.9977173298791979]]","[-0.9459109271551583, -0.5296178852629667, 0.019692629440001497]","[1538.5088638378145, 1621.0, 1682.0907198648454, 1790.0729921892166]"
31,27.41,"[0.7531894973762631, -1.6163041949549541, 2.305526940349385]","[-0.020876611474539723, 0.012290452802516822, -0.011536236247169339]","[0.015381861973215439, -0.02988558494025382, 0.03335363812284066, -0.9988782680728199]","[[0.9959887827426687, 0.06571305667906173, 0.060730204766747994], [-0.0675518404492209, 0.9973018757615848, 0.028735629324707926], [-0.05867804053510754, -0.032722801265454494, 0.9977405097392014]]","[-0.9958420350881669, -0.36438516095866486, 0.7631029496694346]","[1536.4191752736447, 1620.916164945271, 1680.9221856020183, 1791.993979343253]"
32,27.42,"[0.7529986670380451, -1.6161936896562004, 2.3055156154493845]","[-0.022119400253145897, 0.013144111089014528, -0.006501498079658384]","[0.015378327876303178, -0.02971222521468073, 0.03302358010548714, -0.9988944077284729]","[[0.9960531575892965, 0.06506029029851687, 0.060374446101250104], [-0.06688798766366055, 0.9973458043071701, 0.02876024333272969], [-0.05834305633120393, -0.03268505953068682, 0.9977612853387213]]","[-1.0314757010691493, -0.2565174049839186, 1.3840276930026754]","[1538.8676318351852, 1620.426473632963, 1686.3087900374076, 1786.1176835955553]"
33,27.43,"[0.7528168217731324, -1.616088096088084, 2.3055054695769504]","[-0.023035659615563128, 0.013783325699093792, -0.00234769801518042]","[0.015376633651000546, -0.029536117640593176, 0.03270543855729658, -0.9989101813231644]","[[0.9961159632570102, 0.06443125899818097, 0.0600136563500762], [-0.06624792323991, 0.997387846022694, 0.028787768455490647], [-0.05800205816171278, -0.03265173517835266, 0.9977823729545863]]","[-0.7940027830159399, -0.41988001849431184, 0.7415118322306089]","[1540.6703005110846, 1620.2637595911324, 1690.2087212266028, 1782.2528580578787]"
34,27.44,"[0.7526955908315337, -1.6160156376117754, 2.305503277558162]","[-0.021749114511982342, 0.012975878952800172, -0.004136806281217238]","[0.015387351408195108, -0.029341472768854605, 0.032467686861258456, -0.9989234854291039]","[[0.9961698276108224, 0.06396249474188134, 0.05961895590606561], [-0.06576844495119474, 0.9974181304925946, 0.02883627390057875], [-0.05762058907748392, -0.032646872900208006, 0.9978045878243452]]","[-0.619965774578442, -0.5302628014113068, 0.2350187464305975]","[1538.1164108861076, 1622.3068712911138, 1684.0793861266584, 1791.9576386327908]"
35,27.450000000000003,"[0.7525431177696142, -1.615924074609905, 2.3054870346326415]","[-0.021051436421933134, 0.012624028707409288, -0.005742611138689705]","[0.015451611399893707, -0.02919025701029386, 0.032160426051913577, -0.9989368315302789]","[[0.9962271815744385, 0.0633503951859526, 0.0593123065104533], [-0.06515454121789695, 0.9974538191933858, 0.0289928252636621], [-0.05732458488721655, -0.03274790967172573, 0.997818262992413]]","[-0.9381132751781717, -0.2859310492728626, 0.3887932083218768]","[1537.0042937276332, 1623.4978531361835, 1679.0, 1798.660941696489]"
36,27.46,"[0.7522395032745752, -1.6157400887717215, 2.3054028169935528]","[-0.02320254719218135, 0.014476238473426328, -0.00646164072029599]","[0.015774895106124627, -0.029249140257095352, 0.03151689782882817, -0.9989503807937242]","[[0.9963018835490038, 0.06204482993608958, 0.05943123111006932], [-0.0638904384140896, 0.9975152133293438, 0.02967299061636063], [-0.05744252808078847, -0.03336035927661639, 0.997790818615291]]","[-1.1772076918032728, -0.1121168898966205, 0.4567302891722438]","[1542.8671051137596, 1620.56644744312, 1679.0, 1790.8438598483203]"
37,27.470000000000002,"[0.7519425139309035, -1.6155610369168931, 2.305321215634418]","[-0.02535567423416088, 0.01624325780555096, -0.007230435543709327]","[0.016077593399806803, -0.02928628872833291, 0.030890667478108487, -0.9989642584690653]","[[0.9963761586634567, 0.060775639377039274, 0.059505206588743385], [-0.0626590515464932, 0.9975745540593562, 0.03031253632366067], [-0.05751861622249673, -0.0339312283507599, 0.9977676473188838]]","[-1.1489921413691389, -0.20457272423514353, 0.4083670558678776]","[1547.6312402885392, 1618.2458398076406, 1679.6760594710115, 1783.6312402885392]"
38,27.48,"[0.7516921137595257, -1.6154166816580977, 2.3052580123934243]","[-0.027522980036116418, 0.01741120376071601, -0.008349187869414229]","[0.016235531630085336, -0.0291705946232445, 0.03038607865847315, -0.9989804455917758]","[[0.9964512857951419, 0.059762996572708345, 0.0592683755121595], [-0.06165739701940468, 0.9976259480018662, 0.03066519727901135], [-0.0572950389474639, -0.03421071720995671, 0.9977707283729966]]","[-1.1556566458964928, -0.25519009774548596, 0.3760809283433364]","[1544.6693006208814, 1620.2204662527458, 1685.1062821950509, 1780.6693006208814]"
39,27.490000000000002,"[0.7514405890844841, -1.6152711597945788, 2.305190229418341]","[-0.029374515286878927, 0.0183904396542725, -0.009721744915976273]","[0.016381674524531136, -0.02905647377850451, 0.02988437940374601, -0.9989966407418969]","[[0.9965252926730344, 0.05875680187745712, 0.05903375174658157], [-0.06066077666253726, 0.9976771314894608, 0.03099380626640378], [-0.057075527039542495, -0.034467145012531085, 0.997774726417273]]","[-0.876797396293857, -0.4180509946565912, 0.14280451932801697]","[1542.4417296463052, 1621.7055135691298, 1689.165621779201, 1778.7852971489872]"
40,27.5,"[0.7511788072740357, -1.6151149967717668, 2.305080672499607]","[-0.028345756408614507, 0.01764836087650914, -0.013409376134714773]","[0.016420226522927146, -0.02895670339338774, 0.02940903725169875, -0.999012909113866]","[[0.9965930342717293, 0.057809064459961965, 0.05882204709773948], [-0.05971096697626853, 0.997730767936426, 0.031104858996391156], [-0.05689043488376309, -0.03451121407152128, 0.9977835695377444]]","[-0.624992162327049, -0.5712163675213094, -0.10262142988593936]","[1546.91268653391, 1618.7248756440601, 1680.7204809915033, 1786.7336649491733]"
41,27.51,"[0.750914444518979, -1.6149568810684243, 2.3049711300279982]","[-0.027482399371501747, 0.017027989903461917, -0.016612884341206308]","[0.016466743662967052, -0.028845401103589408, 0.028921086266089708, -0.9990296868618889]","[[0.996662982482588, 0.05683606786057801, 0.05858729629184553], [-0.0587360271638911, 0.9977847895185182, 0.031233050863104198], [-0.056682351835852504, -0.03457001219789167, 0.9977935336504855]]","[-0.8225251926350795, -0.43153183611271434, 0.3959467788665645]","[1550.6379823063264, 1616.5882787522194, 1673.1357566351276, 1793.773738941454]"
42,27.520000000000003,"[0.7506225845384756, -1.6147779616265572, 2.3048617414751735]","[-0.02838122339821407, 0.017704286411847556, -0.014658575689046629]","[0.016598120933207335, -0.028611238609103643, 0.028298801541602997, -0.9990518914711248]","[[0.9967607543271074, 0.055594156816043405, 0.05810763796001806], [-0.05749372800997442, 0.9978469650395748, 0.031545440699857576], [-0.056228810239008616, -0.034784095752891465, 0.9978114034274628]]","[-0.9673748863374678, -0.3244796932299935, 0.815742497640441]","[1546.4190503236835, 1623.4440432240144, 1674.7178561286187, 1791.1369064523021]"
43,27.53,"[0.7503279211221081, -1.6145983824675019, 2.304746211242958]","[-0.029378719582273043, 0.018418811150757112, -0.013614191783659416]","[0.016683452440346483, -0.02835341553641089, 0.02767113337288301, -0.9990755018088877]","[[0.9968605881052898, 0.054345037201021316, 0.05757770578526521], [-0.05623716863951369, 0.997911745279792, 0.03176691495171815], [-0.05573110563487729, -0.034905199523257345, 0.997835296178911]]","[-0.9819958581695751, -0.32481347245045866, 0.3515355057008964]","[1543.3675540274521, 1629.6432195480413, 1675.0811149313697, 1789.5513310411782]"
44,27.540000000000003,"[0.7500212745727458, -1.6144159833834724, 2.304604428738702]","[-0.03079798449641592, 0.01929674036642137, -0.016459231351278546]","[0.016571963856073405, -0.027994456618594617, 0.027020453966759186, -0.999105120856216]","[[0.9969718779732208, 0.05306470160558998, 0.056834373899473795], [-0.054920394098605045, 0.9979899972038675, 0.03160142204971978], [-0.05504324595342648, -0.03462711375526847, 0.9978828278662663]]","[-1.0079379594078497, -0.3097810025737383, 0.005176211203144376]","[1545.3061976060374, 1633.0358458105654, 1670.2345059849065, 1792.4592964090562]"
45,27.55,"[0.7497131829634068, -1.6142332939028559, 2.3044608718563704]","[-0.03226723077994378, 0.020082470042767163, -0.019615364301603603]","[0.016483025091983204, -0.02766347145581791, 0.026382506226927952, -0.9991331369289492]","[[0.9970774111378646, 0.051807317024840906, 0.0561487090522473], [-0.05363122780139134, 0.9980645662114724, 0.0314778097165804], [-0.05440925500373587, -0.03439713654834664, 0.9979261041751265]]","[-1.0309616880322974, -0.3742576334851423, -0.19447176081094675]","[1546.813522629235, 1635.4405678877047, 1666.0621591235883, 1795.497272988707]"
46,27.560000000000002,"[0.7493950944818014, -1.614048595469233, 2.3043050398911564]","[-0.03408224635571528, 0.02023036666557479, -0.024923629938220858]","[0.016550085162272507, -0.02752600771112726, 0.025832635690604698, -0.9991500636818418]","[[0.9971497489070704, 0.05071024364708196, 0.05586028935625027], [-0.05253247473426806, 0.9981173004703396, 0.0316498986292123], [-0.05415016007366841, -0.034494175946085615, 0.9979365884027606]]","[-1.0646276643096702, -0.43368472329633734, -0.4448770667525217]","[1545.3370016021724, 1631.0110048065173, 1666.554332799276, 1799.4346623942067]"
47,27.57,"[0.7490737521857296, -1.6138607278900774, 2.304145514972614]","[-0.035701655586513184, 0.020442947009584968, -0.029434711717099972]","[0.016619520670488136, -0.02740508766876859, 0.025263514385435767, -0.999166899651703]","[[0.9972214178376771, 0.04957401584362883, 0.05560424796044911], [-0.05139585352757939, 0.9981710785633093, 0.03182665223094992], [-0.05392477796229741, -0.03459604753716618, 0.9979454912212498]]","[-0.879784596541368, -0.37179137604677454, 0.27031670249521156]","[1544.0471611523708, 1627.4244503713378, 1667.4244503713378, 1802.4340661715496]"
48,27.580000000000002,"[0.7487212288898911, -1.613642490685632, 2.3039506008276525]","[-0.03544658750469917, 0.0212753854052673, -0.026306455132421466]","[0.016711719778223413, -0.02744270437884549, 0.02450991476256727, -0.9991828656562642]","[[0.9972918426537171, 0.048062544167833704, 0.05565976565982543], [-0.04989700330997726, 0.9982394835450747, 0.0320508914257398], [-0.05402135435062477, -0.034741364806459146, 0.9979347513411619]]","[-0.7160572362254218, -0.3246059161368611, 0.9499414956531904]","[1544.5462632178449, 1631.916368960604, 1671.916368960604, 1796.4448413858615]"
49,27.59,"[0.7483675134271339, -1.6134217935346928, 2.303757283431692]","[-0.03532278732726366, 0.022183647439372192, -0.02345282768474676]","[0.01678099705851179, -0.027459612180165825, 0.02375060432983647, -0.99919980597369]","[[0.9973637326130199, 0.04654159913381448, 0.05567239596786266], [-0.048384797818707435, 0.9983085894906345, 0.032230773241936336], [-0.0540781606822752, -0.03483950277770384, 0.9979287113005292]]","[-0.8624292171749309, -0.2587547909023068, 0.6251140540732738]","[1545.4231569819294, 1636.376139539493, 1675.2007034785777, 1791.5171918668027]"
