,t,p,v,q,R,fa,pwm
0,27.1,"[0.7574408551437307, -1.6165642148688142, 2.3026368115367735]","[-0.006525588902631593, -0.007201045933319456, 0.01038746377732869]","[0.014880240606842524, -0.02881193816519087, 0.0380307105153358, -0.998750297630978]","[[0.9954471158553486, 0.07510890974812337, 0.05868367588145418], [-0.07682382403711341, 0.9966645282959832, 0.027531812510316812], [-0.05642005138978469, -0.03191476642930133, 0.9978969426189161]]","[-0.8112426307546032, -0.3805995393920175, 0.625781246316695]","[1538.5589637844846, 1603.434324407161, 1690.144774802387, 1789.2828377964195]"
1,27.110000000000003,"[0.7573585544400971, -1.616676394810172, 2.302832818536985]","[-0.007547774238704997, -0.006342503366124236, 0.01045325519603394]","[0.015093502450324259, -0.02870749320464167, 0.03808500447914015, -0.9987480592287483]","[[0.9954509118971386, 0.07520805538046497, 0.05849277846376972], [-0.07694124185657268, 0.9966435245968918, 0.027962562543884094], [-0.05619343403006367, -0.03233586257301875, 0.997896219397055]]","[-0.8084900083360911, -0.38649988969503846, 0.6277302706067918]","[1532.6506275271454, 1606.6288704511383, 1690.0916315705779, 1789.0481174185638]"
2,27.12,"[0.7572892244164056, -1.616744483010889, 2.302985229491995]","[-0.0083351609621317, -0.006162662526631293, 0.011368348470415858]","[0.015133593913086033, -0.02847421954733606, 0.038064893827208394, -0.9987548484477912]","[[0.9954805556417899, 0.07517315997990669, 0.058029646948388934], [-0.07689682908239244, 0.9966440666699973, 0.028061764302505374], [-0.05572541236628611, -0.03239723687803325, 0.9979203765964908]]","[-0.9134318570159685, -0.37007591261067835, 0.7666476143715641]","[1530.109856924634, 1611.2022575356589, 1683.4856280040483, 1796.6704292260981]"
3,27.130000000000003,"[0.7572167560323304, -1.6168149298227064, 2.30313696332735]","[-0.009044248218453127, -0.006023756246715057, 0.011269276226086507]","[0.01518030267472526, -0.0282905579276159, 0.03805917611934063, -0.9987595780266588]","[[0.9955022797345471, 0.07516501489763376, 0.05766643102193335], [-0.07688285182634598, 0.9966421078916662, 0.028169514734088037], [-0.05535543176976428, -0.0324763760408142, 0.9979383983297205]]","[-0.8735817711534459, -0.38605964716737495, 0.2288379580504678]","[1528.6057744545155, 1613.4422942598173, 1679.7307841557586, 1802.2211471299086]"
4,27.14,"[0.7571289214816029, -1.6168969249612937, 2.3032853818221493]","[-0.009369962466794758, -0.006085275407933839, 0.006204605876556314]","[0.015259411321946366, -0.02834980876674459, 0.038123929724541386, -0.9987542231122535]","[[0.9954857021437006, 0.07528766884230041, 0.057792479910173396], [-0.07701807441378151, 0.9966274261901379, 0.02831919076574662], [-0.05546548501067038, -0.03264241523425685, 0.9979268709111995]]","[-0.8392792516207117, -0.3989357125998079, -0.17148912475538935]","[1532.177566218851, 1604.2576868658116, 1689.9359034824315, 1797.6288434329058]"
5,27.150000000000002,"[0.7570372781075083, -1.6169761158094402, 2.3034294328016123]","[-0.009539289572376217, -0.005972880458481186, 0.0023659837831280497]","[0.015338449039155726, -0.028421994505897205, 0.03817040832448793, -0.9987491986554893]","[[0.9954704399905574, 0.07537343082423055, 0.05794383819968895], [-0.07711722808151002, 0.9966155234960904, 0.028468769101576783], [-0.05560193874813326, -0.03280828564432258, 0.9979138640960201]]","[-0.7805691691488857, -0.32747863091918417, 0.3653183207481696]","[1534.6965305214312, 1598.0115649285624, 1698.3034694785688, 1792.6849655928688]"
6,27.16,"[0.7569312889174236, -1.6170447443839462, 2.3035570336689783]","[-0.009119589317781703, -0.005205443363631941, 0.0031452347129842097]","[0.015417219600658678, -0.028542899147900407, 0.03814805467958294, -0.9987454188572604]","[[0.9954601311809759, 0.0753202854106942, 0.0581904534024068], [-0.07708049398750473, 0.9966141440440803, 0.028618042740532583], [-0.055837905657074534, -0.03297346705016429, 0.9978952980122189]]","[-0.7369261321798878, -0.2757603364432819, 0.7536279373205108]","[1533.2500525915266, 1602.833158028245, 1699.7499474084734, 1786.4168945632816]"
7,27.17,"[0.7568242510678787, -1.6171097954536833, 2.30368169386269]","[-0.008954933741506372, -0.0044990285109555725, 0.0038247370625160383]","[0.015490801291963745, -0.02867162313759391, 0.038116147752251736, -0.9987418404540465]","[[0.9954503261053874, 0.07524809028071947, 0.05845199866418125], [-0.07702467594768961, 0.9966145202027415, 0.028756919137268765], [-0.056090199980800205, -0.0331283264325064, 0.9978760776949962]]","[-0.9119567258875582, -0.3240702950187647, 0.634527235046022]","[1532.5381787636727, 1606.5963659272454, 1700.7981829636226, 1781.672723454591]"
8,27.18,"[0.7567105395402501, -1.6171520792514167, 2.3037876395832453]","[-0.010413384754837168, -0.004180959747429234, 0.003869438564229074]","[0.015531360967415175, -0.02885010952517825, 0.03802344365102728, -0.9987395437304892]","[[0.9954437882977883, 0.0750548705962079, 0.05880860210463889], [-0.07684719645614792, 0.9966259995900176, 0.028829607704506363], [-0.056446378790365785, -0.03321752975993268, 0.9978529064849537]]","[-1.0547865673446655, -0.3576174879642249, 0.5789965186547974]","[1536.501331941474, 1603.6240010438944, 1699.3120005219473, 1786.6266649268425]"
9,27.19,"[0.75659701782415, -1.617192655866937, 2.303897417940198]","[-0.011582679102973698, -0.0038607655570239634, 0.0044640669563262795]","[0.015573675894923611, -0.029024217169113287, 0.03793130982542526, -0.9987373235293435]","[[0.9954375913440845, 0.07486280220342374, 0.05915659779701146], [-0.07667085720860632, 0.9966373229468839, 0.028906169613854796], [-0.05679367809504704, -0.03330987590938305, 0.997830081112469]]","[-0.8265623094471394, -0.35160144146361466, 1.0060746487604852]","[1539.9413966989493, 1601.2344132042026, 1698.1172066021013, 1790.648380193696]"
