filename,method,condition,phase,t0_seconds,n_samples,mae_x,mae_y,mae_z,mae_3d,rmse_3d
simpleflight_ellipse_adaptive_nowind,Adaptive,nowind,all,20.000000,5999,0.750312,1.220801,1.761254,2.473296,3.004189
simpleflight_ellipse_adaptive_10sint,Adaptive,10sint,trans,20.000000,1998,0.895420,1.206663,2.353449,3.026001,3.760996
simpleflight_ellipse_adaptive_10wind,Adaptive,10wind,trans,20.000000,1998,0.916009,1.190690,2.543831,3.183116,3.931605
simpleflight_ellipse_adaptive_12wind,Adaptive,12wind,trans,20.000000,1998,0.943243,1.192918,2.774075,3.391881,4.154426
simpleflight_ellipse_adaptive_5wind,Adaptive,5wind,trans,20.000000,1998,0.881675,1.215653,2.486280,3.153722,3.925961
simpleflight_ellipse_adaptive_nowind,Adaptive,nowind,trans,20.000000,1998,0.881156,1.229001,2.842725,3.495652,4.388896
simpleflight_ellipse_adaptive_10sint,Adaptive,10sint,steady,20.000000,4001,0.682016,1.198176,1.221185,1.948033,1.963011
simpleflight_ellipse_adaptive_10wind,Adaptive,10wind,steady,20.000000,4001,0.682139,1.171352,1.224909,1.932106,1.945953
simpleflight_ellipse_adaptive_12wind,Adaptive,12wind,steady,20.000000,4001,0.680149,1.161180,1.227377,1.926860,1.940758
simpleflight_ellipse_adaptive_5wind,Adaptive,5wind,steady,20.000000,4001,0.682342,1.197670,1.219855,1.947273,1.962365
simpleflight_ellipse_adaptive_nowind,Adaptive,nowind,steady,20.000000,4001,0.684972,1.216705,1.221195,1.962757,1.978110
simpleflight_ellipse_nnadaptive_13p5wind,NNAdaptive,13p5wind,all,20.000000,5999,0.799408,1.222540,6.557570,6.878733,8.868773
simpleflight_ellipse_nnadaptive_13p5wind,NNAdaptive,13p5wind,trans,20.000000,1998,0.969494,1.227076,3.070432,3.622179,4.161844
simpleflight_ellipse_nnadaptive_13p5wind,NNAdaptive,13p5wind,steady,20.000000,4001,0.714471,1.220276,8.298960,8.504975,10.453894
simpleflight_ellipse_nnadaptive_15wind,NNAdaptive,15wind,all,20.000000,5999,0.798262,1.216183,4.310094,4.684549,5.184358
simpleflight_ellipse_nnadaptive_15wind,NNAdaptive,15wind,trans,20.000000,1998,0.980733,1.228765,3.468736,4.010991,4.678111
simpleflight_ellipse_nnadaptive_15wind,NNAdaptive,15wind,steady,20.000000,4001,0.707141,1.209899,4.730246,5.020908,5.419490
simpleflight_ellipse_nnadaptive_18sint,NNAdaptive,18sint,all,20.000000,5999,0.795379,1.224500,3.902549,4.327706,4.808359
simpleflight_ellipse_nnadaptive_18sint,NNAdaptive,18sint,trans,20.000000,1998,0.972193,1.236139,3.038782,3.643601,4.314514
simpleflight_ellipse_nnadaptive_18sint,NNAdaptive,18sint,steady,20.000000,4001,0.707082,1.218688,4.333893,4.669331,5.036879
simpleflight_ellipse_nnadaptive_gusts,NNAdaptive,gusts,all,20.000000,5999,0.786718,1.293060,37.796312,38.012895,65.140046
simpleflight_ellipse_nnadaptive_gusts,NNAdaptive,gusts,trans,20.000000,1998,0.936380,1.305622,3.857040,4.320492,4.797916
simpleflight_ellipse_nnadaptive_gusts,NNAdaptive,gusts,steady,20.000000,4001,0.711981,1.286787,54.744741,54.838044,79.691225
simpleflight_ellipse_nnadaptive_ou15,NNAdaptive,ou15,all,20.000000,5999,0.820760,1.208214,3.477908,4.027525,5.331885
simpleflight_ellipse_nnadaptive_ou15,NNAdaptive,ou15,trans,20.000000,1998,1.042012,1.259376,5.891265,6.450813,8.149535
simpleflight_ellipse_nnadaptive_ou15,NNAdaptive,ou15,steady,20.000000,4001,0.710272,1.182665,2.272738,2.817395,3.075676
simpleflight_ellipse_nnadaptive_10sint,NNAdaptive,10sint,all,20.000000,5999,0.782729,1.265974,23.688433,23.920785,42.169244
simpleflight_ellipse_nnadaptive_10wind,NNAdaptive,10wind,all,20.000000,5999,0.782520,1.233163,5.897452,6.187521,6.882181
simpleflight_ellipse_nnadaptive_12wind,NNAdaptive,12wind,all,20.000000,5999,0.789818,1.226973,7.748039,8.042854,11.118091
simpleflight_ellipse_nnadaptive_5wind,NNAdaptive,5wind,all,20.000000,5999,0.784025,1.271743,9.924019,10.191061,15.282670
simpleflight_ellipse_nnadaptive_nowind,NNAdaptive,nowind,all,20.000000,5999,0.781771,1.293218,5.165735,5.487579,5.930804
simpleflight_ellipse_nnadaptive_10sint,NNAdaptive,10sint,trans,20.000000,1998,0.925217,1.261666,3.586949,4.042958,4.466596
simpleflight_ellipse_nnadaptive_10wind,NNAdaptive,10wind,trans,20.000000,1998,0.927767,1.226622,3.293764,3.772584,4.243780
simpleflight_ellipse_nnadaptive_12wind,NNAdaptive,12wind,trans,20.000000,1998,0.945225,1.227794,3.137657,3.648760,4.153330
simpleflight_ellipse_nnadaptive_5wind,NNAdaptive,5wind,trans,20.000000,1998,0.927107,1.273099,3.500523,3.974456,4.424732
simpleflight_ellipse_nnadaptive_nowind,NNAdaptive,nowind,trans,20.000000,1998,0.929034,1.292621,3.534797,4.020851,4.542289
simpleflight_ellipse_nnadaptive_10sint,NNAdaptive,10sint,steady,20.000000,4001,0.711574,1.268125,33.726615,33.847278,51.539245
simpleflight_ellipse_nnadaptive_10wind,NNAdaptive,10wind,steady,20.000000,4001,0.709987,1.236429,7.197669,7.393480,7.875497
simpleflight_ellipse_nnadaptive_12wind,NNAdaptive,12wind,steady,20.000000,4001,0.712212,1.226562,10.050349,10.237155,13.293847
simpleflight_ellipse_nnadaptive_5wind,NNAdaptive,5wind,steady,20.000000,4001,0.712574,1.271065,13.131753,13.295479,18.450398
simpleflight_ellipse_nnadaptive_nowind,NNAdaptive,nowind,steady,20.000000,4001,0.708232,1.293516,5.980186,6.220026,6.514321
simpleflight_ellipse_metapinn_13p5wind,MetaPINN,13p5wind,all,20.000000,5999,0.872917,1.220980,3.235184,4.031662,5.823905
simpleflight_ellipse_metapinn_13p5wind,MetaPINN,13p5wind,trans,20.000000,1998,1.236836,1.333327,8.057540,8.509503,9.750663
simpleflight_ellipse_metapinn_13p5wind,MetaPINN,13p5wind,steady,20.000000,4001,0.691185,1.164877,0.827019,1.795540,1.837744
simpleflight_ellipse_metapinn_15wind,MetaPINN,15wind,all,20.000000,5999,0.926590,1.372042,1.396507,2.481443,2.879566
simpleflight_ellipse_metapinn_15wind,MetaPINN,15wind,trans,20.000000,1998,1.248786,1.685643,1.721360,3.114140,3.795634
simpleflight_ellipse_metapinn_15wind,MetaPINN,15wind,steady,20.000000,4001,0.765694,1.215437,1.234283,2.165490,2.288723
simpleflight_ellipse_metapinn_18sint,MetaPINN,18sint,all,20.000000,5999,0.871021,1.325941,1.462126,2.493783,2.955823
simpleflight_ellipse_metapinn_18sint,MetaPINN,18sint,trans,20.000000,1998,1.223541,1.655159,2.232797,3.427599,4.099454
simpleflight_ellipse_metapinn_18sint,MetaPINN,18sint,steady,20.000000,4001,0.694981,1.161537,1.077272,2.027458,2.169704
simpleflight_ellipse_metapinn_gusts,MetaPINN,gusts,all,20.000000,5999,0.871889,1.359193,1.230532,2.260383,2.707193
simpleflight_ellipse_metapinn_gusts,MetaPINN,gusts,trans,20.000000,1998,1.217511,1.649275,2.021885,3.189090,3.902235
simpleflight_ellipse_metapinn_gusts,MetaPINN,gusts,steady,20.000000,4001,0.699294,1.214333,0.835350,1.796610,1.839716
simpleflight_ellipse_metapinn_ou15,MetaPINN,ou15,all,20.000000,5999,0.903051,1.285858,3.127784,3.906110,4.952595
