t,pos,pos_d,vel,"cmd(thr,r,p,y)",fhat,fa_obs,dhat_xyz
0.170000,"[0.01209146436303854, 0.312359094619751, -10.018075942993164]","[0.8489768280241603, 0.84591174533498, -10.0]","[0.2085573375225067, 0.25282880663871765, -1.1081128120422363]","[1.0, 0.1511543304102657, 0.3032116610204529, 0.0]","[1.0171178579330444, -0.3552483916282654, -0.9614294767379761]","[0.0029954910278320312, 0.11391618847846985, -2.2089662551879883]","[0.0, 0.0, 0.0]"
0.180000,"[0.015502773225307465, 0.31619536876678467, -10.035351753234863]","[0.8987854919801106, 0.895147867129121, -10.0]","[0.24677042663097382, 0.25928062200546265, -1.1949858665466309]","[1.0, 0.16962805384814264, 0.30959774128786743, 0.0]","[1.0243982076644897, -0.2956136167049408, -0.8964841961860657]","[0.0964345932006836, 0.08916857838630676, -2.236978530883789]","[0.0, 0.0, 0.0]"
0.190000,"[0.019509123638272285, 0.32015460729599, -10.053922653198242]","[0.9485716863455731, 0.9442944748825031, -10.0]","[0.2879997491836548, 0.2692674994468689, -1.2813918590545654]","[1.0, 0.18654782235380873, 0.3145903040042199, 0.0]","[1.073668122291565, -0.14608222246170044, -0.8657515645027161]","[0.19544458389282227, 0.0792544037103653, -2.2596616744995117]","[0.0, 0.0, 0.0]"
0.200000,"[0.024158932268619537, 0.32429200410842896, -10.07380199432373]","[0.9983341664682817, 0.9933466539753062, -10.0]","[0.3325191140174866, 0.2830779552459717, -1.3692171573638916]","[1.0, 0.20177107080284942, 0.3180717722042626, 0.0]","[1.1668810844421387, 0.05201806128025055, -0.8742382526397705]","[0.3097243309020996, 0.09425598382949829, -2.3270273208618164]","[0.0, 0.0, 0.0]"
0.210000,"[0.029499445110559464, 0.3286658227443695, -10.095003128051758]","[1.048071688288825, 1.042299499230498, -10.0]","[0.38004106283187866, 0.300762414932251, -1.4575016498565674]","[1.0, 0.2152598423719038, 0.3201327578778718, 0.0]","[1.2596218585968018, 0.22118888795375824, -0.8285470604896545]","[0.4365670680999756, 0.1478290557861328, -2.4029808044433594]","[0.0, 0.0, 0.0]"
0.220000,"[0.03557091951370239, 0.333332359790802, -10.117515563964844]","[1.0977830083717484, 1.0911481154043468, -10.0]","[0.42992594838142395, 0.32208648324012756, -1.5441256761550903]","[1.0, 0.22709169334860876, 0.3209978071136196, 0.0]","[1.34425687789917, 0.3438718318939209, -0.728138267993927]","[0.5604307651519775, 0.2202603816986084, -2.4322805404663086]","[0.0, 0.0, 0.0]"
0.230000,"[0.042408913373947144, 0.3383461833000183, -10.141324043273926]","[1.1474668839366384, 1.1398876176759423, -10.0]","[0.4822838306427002, 0.3470951318740845, -1.6305466890335083]","[1.0, 0.23723119819331914, 0.32060395477410236, 0.0]","[1.427422285079956, 0.42633047699928284, -0.6771528720855713]","[0.6868526935577393, 0.3003509044647217, -2.464324951171875]","[0.0, 0.0, 0.0]"
0.240000,"[0.05005114525556564, 0.3437635004520416, -10.166434288024902]","[1.197122072889194, 1.1885131321356734, -10.0]","[0.5370143055915833, 0.37585464119911194, -1.717087984085083]","[0.994737774208862, 0.24563869247367956, 0.3189640365894678, 0.0]","[1.4814698696136475, 0.4528138041496277, -0.6718518733978271]","[0.8369405269622803, 0.4026085138320923, -2.59039306640625]","[0.0, 0.0, 0.0]"
0.250000,"[0.05852929502725601, 0.34963932633399963, -10.192835807800293]","[1.2467473338522772, 1.2370197962726148, -10.0]","[0.5936894416809082, 0.4081903398036957, -1.8027490377426147]","[0.9721172549090831, 0.25237377740861816, 0.3162143119088826, 0.0]","[1.509225845336914, 0.44870468974113464, -0.6904252767562866]","[1.054051160812378, 0.5528140068054199, -2.973496437072754]","[0.0, 0.0, 0.0]"
0.260000,"[0.0678711086511612, 0.35602596402168274, -10.2205171585083]","[1.2963414261969488, 1.2854027594607758, -10.0]","[0.6521058082580566, 0.44391733407974243, -1.8876298666000366]","[0.9489760397230673, 0.25749977237440436, 0.31240454258758876, 0.0]","[1.522051453590393, 0.43017852306365967, -0.7031619548797607]","[1.2748401165008545, 0.7236268520355225, -3.349818229675293]","[0.0, 0.0, 0.0]"
0.270000,"[0.07809683680534363, 0.36297109723091125, -10.249449729919434]","[1.3459031100734833, 1.3336571834441557, -10.0]","[0.7114256024360657, 0.4825795590877533, -1.9694058895111084]","[0.9252462333676466, 0.2611853171803879, 0.3078339503166928, 0.0]","[1.5322468280792236, 0.4135432243347168, -0.6689992547035217]","[1.4823079109191895, 0.9021943807601929, -3.664438247680664]","[0.0, 0.0, 0.0]"
0.280000,"[0.08921296894550323, 0.3705143928527832, -10.279568672180176]","[1.3954311464423652, 1.381778242820569, -10.0]","[0.7707011699676514, 0.5235925912857056, -2.0455052852630615]","[0.9012745702521696, 0.2636499515700858, 0.30285120017373535, 0.0]","[1.5509295463562012, 0.42334961891174316, -0.5679986476898193]","[1.6588211059570312, 1.0788052082061768, -3.86319637298584]","[0.0, 0.0, 0.0]"
0.290000,"[0.10121497511863708, 0.3786878287792206, -10.310782432556152]","[1.4449242971052645, 1.429761125524178, -10.0]","[0.8294853568077087, 0.5665253400802612, -2.115330696105957]","[0.8780176787897338, 0.26505416975980445, 0.29761767870065114, 0.0]","[1.5717378854751587, 0.4635184705257416, -0.45413586497306824]","[1.8002407550811768, 1.2480242252349854, -3.944117546081543]","[0.0, 0.0, 0.0]"
0.300000,"[0.11409331113100052, 0.3875173032283783, -10.342995643615723]","[1.4943813247359927, 1.4776010333066982, -10.0]","[0.8875017166137695, 0.6110058426856995, -2.178874969482422]","[0.853388466710163, 0.26553447932162, 0.2922340549879467, 0.0]","[1.6068918704986572, 0.5265136957168579, -0.17718493938446045]","[1.9191758632659912, 1.4114370346069336, -3.9651575088500977]","[0.0, 0.0, 0.0]"
0.310000,"[0.1278349608182907, 0.3970237374305725, -10.376115798950195]","[1.5438009929114347, 1.525293182217218, -10.0]","[0.9446277618408203, 0.6567691564559937, -2.236586332321167]","[0.8304308400451086, 0.2651843071778463, 0.28674668194254005, 0.0]","[1.640010952949524, 0.5865235328674316, 0.04261840879917145]","[2.0082240104675293, 1.5603203773498535, -3.908992290496826]","[0.0, 0.0, 0.0]"
