t,pos,pos_d,vel,"cmd(thr,r,p,y)",fhat,fa_obs,dhat_xyz
16.040000,"[9.425012588500977, -2.6534178256988525, -9.901616096496582]","[9.862505748897078, -1.6298459485757828, -10.0]","[-0.9916818737983704, -2.8028218746185303, -0.23616252839565277]","[0.5870238269145492, 0.014374628170890153, -0.10602083935545271, 0.0]","[-0.5267345309257507, 0.07023721188306808, -0.1340310424566269]","[-0.5144104957580566, 1.599726915359497, 0.0794525146484375]","[1.225249471541505, -1.2741593165489602, -17.133401930240804]"
16.050000,"[9.410021781921387, -2.695340633392334, -9.90513801574707]","[9.854119663231193, -1.6770326887914344, -10.0]","[-1.0070947408676147, -2.786717653274536, -0.23341616988182068]","[0.5867366320275144, 0.016559256233239814, -0.10591583807934794, 0.0]","[-0.5236461162567139, 0.06313754618167877, -0.13418890535831451]","[-0.5135477781295776, 1.604897141456604, 0.0810403823852539]","[1.2209847115240877, -1.27128500321999, -17.13232906563383]"
16.060000,"[9.39479923248291, -2.7370197772979736, -9.908617973327637]","[9.845487225086963, -1.7240517271357294, -10.0]","[-1.0224857330322266, -2.7703585624694824, -0.2306133210659027]","[0.5864522656942487, 0.018759071337426908, -0.10580606789883096, 0.0]","[-0.5204246044158936, 0.05721534416079521, -0.13345889747142792]","[-0.5127027034759521, 1.609922170639038, 0.08253669738769531]","[1.2166656942957708, -1.2682420306495146, -17.131319067267594]"
16.070000,"[9.37934684753418, -2.778451919555664, -9.912055969238281]","[9.83660865027489, -1.7708983617440157, -10.0]","[-1.0378544330596924, -2.7537426948547363, -0.2277519404888153]","[0.5861700709860177, 0.020974339639862682, -0.1056921240756643, 0.0]","[-0.517081618309021, 0.05243154987692833, -0.13180752098560333]","[-0.5118590593338013, 1.6150740385055542, 0.08400440216064453]","[1.2122912836806283, -1.2650451883663347, -17.130383744729574]"
16.080000,"[9.363663673400879, -2.8196330070495605, -9.915451049804688]","[9.827484160758884, -1.8175679079918714, -10.0]","[-1.0532002449035645, -2.7368698120117188, -0.22482933104038239]","[0.5858903686559316, 0.023205585131792508, -0.10557335817883065, 0.0]","[-0.5136252641677856, 0.048759106546640396, -0.1292337328195572]","[-0.5110042095184326, 1.620361089706421, 0.08552074432373047]","[1.207860417973733, -1.2617089297935158, -17.129534857047613]"
16.090000,"[9.347749710083008, -2.8605587482452393, -9.918801307678223]","[9.818113984650706, -1.8640556989635628, -10.0]","[-1.0685228109359741, -2.719740390777588, -0.22184263169765472]","[0.5856142646977532, 0.025453512568351534, -0.10544946109390284, 0.0]","[-0.5100518465042114, 0.04622950032353401, -0.1257677972316742]","[-0.5101408958435059, 1.6255829334259033, 0.08716583251953125]","[1.203371983658665, -1.2582480778669076, -17.128783614871914]"
16.100000,"[9.3316068649292, -2.9012255668640137, -9.92210578918457]","[9.808498356204272, -1.910357085918732, -10.0]","[-1.083821177482605, -2.70235276222229, -0.2187889665365219]","[0.5853431142972285, 0.02771852087332194, -0.10532120115637841, 0.0]","[-0.506334125995636, 0.045023854821920395, -0.12147363275289536]","[-0.5092536211013794, 1.6307342052459717, 0.0890054702758789]","[1.1988245765440615, -1.2546796077593845, -17.128140201186653]"
16.110000,"[9.315234184265137, -2.941629648208618, -9.925362586975098]","[9.79863751580979, -1.9564674387572687, -10.0]","[-1.0990949869155884, -2.6847047805786133, -0.21566860377788544]","[0.5850759633771468, 0.03000035437538441, -0.10518785117781708, 0.0]","[-0.5025201439857483, 0.04487046226859093, -0.11628292500972748]","[-0.5083472728729248, 1.6359268426895142, 0.09097862243652344]","[1.1942173429366232, -1.2510172016887728, -17.127615776216505]"
16.120000,"[9.298632621765137, -2.981767177581787, -9.928571701049805]","[9.788531709987762, -2.0023821464823137, -10.0]","[-1.1143441200256348, -2.6667985916137695, -0.2124829888343811]","[0.5848126603408894, 0.03230024528171547, -0.10504950892662906, 0.0]","[-0.4986424744129181, 0.045646559447050095, -0.11022493243217468]","[-0.5074083805084229, 1.6415300369262695, 0.09301948547363281]","[1.1895498276818308, -1.2472730868285586, -17.127221082990882]"
16.130000,"[9.281803131103516, -3.021634101867676, -9.931733131408691]","[9.7781811913828, -2.0480966176613564, -10.0]","[-1.1295663118362427, -2.648637294769287, -0.2092134952545166]","[0.5845571332812568, 0.0346199945283679, -0.10490704790047521, 0.0]","[-0.49465611577033997, 0.04761973023414612, -0.1033513993024826]","[-0.5064165592193604, 1.6466624736785889, 0.09564781188964844]","[1.1848210688976326, -1.24346272541051, -17.1269658089782]"
16.140000,"[9.264745712280273, -3.0612266063690186, -9.934846878051758]","[9.767586218757332, -2.093606280885374, -10.0]","[-1.1447616815567017, -2.6302130222320557, -0.2058659791946411]","[0.5821622476006577, 0.03699784841308718, -0.10475458851475261, 0.0]","[-0.4861608147621155, 0.08399614691734314, 0.03963007032871246]","[-0.5091638565063477, 1.651758074760437, 0.06332778930664062]","[1.179977287922299, -1.2399999498207677, -17.128889115428446]"
16.150000,"[9.247459411621094, -3.1005406379699707, -9.937909126281738]","[9.756747056985125, -2.1389065852259694, -10.0]","[-1.1599293947219849, -2.6115200519561768, -0.2024412453174591]","[0.581079844536314, 0.03940624748480669, -0.10459475479180211, 0.0]","[-0.4801640212535858, 0.10042016953229904, 0.09565286338329315]","[-0.5095810890197754, 1.657031774520874, 0.05266857147216797]","[1.1750487747763372, -1.2366462410825996, -17.131684073468566]"
16.160000,"[9.22994613647461, -3.1395726203918457, -9.940917015075684]","[9.745663977044657, -2.183993000690459, -10.0]","[-1.1750316619873047, -2.59256911277771, -0.19858771562576294]","[0.5805377293611408, 0.04184038430522836, -0.10444394886795133, 0.0]","[-0.47511157393455505, 0.11011464148759842, 0.12118890136480331]","[-0.5080572366714478, 1.6627476215362549, 0.059795379638671875]","[1.1700476471093206, -1.2333218762746625, -17.134885482130468]"
16.170000,"[9.212206840515137, -3.1783182621002197, -9.943863868713379]","[9.73433725601235, -2.2288610186748667, -10.0]","[-1.1900726556777954, -2.5733680725097656, -0.19434373080730438]","[0.5802341216168774, 0.044300114850825134, -0.10430112353549435, 0.0]","[-0.470394492149353, 0.11807574331760406, 0.1361607015132904]","[-0.5055036544799805, 1.6680326461791992, 0.07653141021728516]","[1.1649786704082026, -1.2300071595570683, -17.13832737307054]"
16.180000,"[9.194243431091309, -3.2167739868164062, -9.946745872497559]","[9.722767177055635, -2.273506152414785, -10.0]","[-1.2050702571868896, -2.553908109664917, -0.189884215593338]","[0.5800312838565446, 0.04678197729457492, -0.1041599393023911, 0.0]","[-0.46568962931632996, 0.1266300231218338, 0.14764419198036194]","[-0.5028291940689087, 1.6721739768981934, 0.09476280212402344]","[1.1598425416992975, -1.2267101990831184, -17.141952437741576]"
16.190000,"[9.176054954528809, -3.2549359798431396, -9.949559211730957]","[9.71095402942589, -2.317923937434044, -10.0]","[-1.2200325727462769, -2.5341737270355225, -0.18529583513736725]","[0.5798776425810066, 0.04928023817590267, -0.104016481519112, 0.0]","[-0.4609685242176056, 0.13617531955242157, 0.15808281302452087]","[-0.5003014802932739, 1.676285982131958, 0.11149311065673828]","[1.1546394880346234, -1.2234436768333175, -17.145741216180742]"
16.200000,"[9.157642364501953, -3.292799949645996, -9.95230484008789]","[9.69889810845119, -2.362109931991157, -10.0]","[-1.2349625825881958, -2.5141634941101074, -0.18061085045337677]","[0.5797567823608478, 0.0517940137384576, -0.10386979341130334, 0.0]","[-0.45630893111228943, 0.14643214643001556, 0.16818848252296448]","[-0.49792397022247314, 1.6811069250106812, 0.1262197494506836]","[1.1493706391027285, -1.2202168793902364, -17.14968543685776]"
16.210000,"[9.139005661010742, -3.3303616046905518, -9.95497989654541]","[9.686599715528924, -2.406059717523488, -10.0]","[-1.2498620748519897, -2.493882656097412, -0.17584402859210968]","[0.579662405169649, 0.05432481925899132, -0.10371897421687705, 0.0]","[-0.4517478048801422, 0.15725550055503845, 0.17823858559131622]","[-0.49570441246032715, 1.685988426208496, 0.13908767700195312]","[1.144037533523035, -1.217037390864876, -17.153781133277235]"
16.220000,"[9.120145797729492, -3.367616653442383, -9.957582473754883]","[9.674059158118283, -2.44976889908911, -10.0]","[-1.2647314071655273, -2.473327875137329, -0.17100325226783752]","[0.5795926024533259, 0.05687116637241897, -0.10356406641489893, 0.0]","[-0.44724932312965393, 0.16892783343791962, 0.188290074467659]","[-0.49363183975219727, 1.6905354261398315, 0.1504220962524414]","[1.1386412808879098, -1.2139161183726155, -17.158025259969648]"
16.230000,"[9.097219467163086, -3.4119129180908203, -9.960606575012207]","[9.661276749732545, -2.493233105806291, -10.0]","[-1.2825357913970947, -2.4482927322387695, -0.16510604321956635]","[0.5795909065059194, 0.061201800533598, -0.10047335080182698, 0.0]","[-0.4422930181026459, 0.1830158680677414, 0.19955813884735107]","[-0.5663894414901733, 1.7961475849151611, 0.18598556518554688]","[1.1330673578459276, -1.2109734259115394, -17.162431600225982]"
16.240000,"[9.077869415283203, -3.4484798908233643, -9.963046073913574]","[9.648252809931254, -2.536447991290578, -10.0]","[-1.2973432540893555, -2.4271206855773926, -0.1601509004831314]","[0.5795656389062402, 0.06373414444788773, -0.10027793770816361, 0.0]","[-0.43786540627479553, 0.1964949667453766, 0.20979484915733337]","[-0.5457415580749512, 1.775892972946167, 0.18842792510986328]","[1.12743099025646, -1.2081099636292976, -17.166983030466255]"
16.250000,"[9.058298110961914, -3.484726667404175, -9.965411186218262]","[9.634987664312227, -2.579409234089435, -10.0]","[-1.3121206760406494, -2.405668020248413, -0.15516507625579834]","[0.5795562466630508, 0.06627853917176828, -0.10007769261801687, 0.0]","[-0.4332457184791565, 0.21065054833889008, 0.22032283246517181]","[-0.5311701893806458, 1.761507511138916, 0.19108867645263672]","[1.1217302260842281, -1.2053343898133597, -17.171681451124964]"
16.260000,"[9.038505554199219, -3.5206499099731445, -9.967700958251953]","[9.621481644503417, -2.622112538114385, -10.0]","[-1.326840877532959, -2.3839187622070312, -0.15015102922916412]","[0.579546875241988, 0.06883055781089187, -0.09988160340520466, 0.0]","[-0.4278636574745178, 0.22671082615852356, 0.2321953922510147]","[-0.5216079950332642, 1.7508065700531006, 0.1937122344970703]","[1.1159565822802584, -1.2026698975834944, -17.17654457331997]"
16.270000,"[9.018492698669434, -3.556244373321533, -9.969915390014648]","[9.607735088154609, -2.6645536330706086, -10.0]","[-1.3414833545684814, -2.3618581295013428, -0.14511577785015106]","[0.5795517344042997, 0.07138237256880185, -0.09969840994354714, 0.0]","[-0.4225180149078369, 0.24334806203842163, 0.24407242238521576]","[-0.5133858919143677, 1.7445869445800781, 0.196197509765625]","[1.110111411944785, -1.200123520147321, -17.181570111853894]"
16.280000,"[8.998260498046875, -3.591505765914917, -9.972054481506348]","[9.593748338929002, -2.7067282748839796, -10.0]","[-1.3560597896575928, -2.339493989944458, -0.14006367325782776]","[0.5795883434393316, 0.073934364348951, -0.09952491720116244, 0.0]","[-0.4178736209869385, 0.25935855507850647, 0.25469622015953064]","[-0.5054134130477905, 1.7422153949737549, 0.1987314224243164]","[1.1042039104465287, -1.1976879083393455, -17.186736981255827]"
16.290000,"[8.97780990600586, -3.626429319381714, -9.974117279052734]","[9.579521746494596, -2.748632246125462, -10.0]","[-1.3705854415893555, -2.3168351650238037, -0.1350005567073822]","[0.5796560418080544, 0.07648837158411546, -0.09935574548715827, 0.0]","[-0.4137835204601288, 0.2751408517360687, 0.26421940326690674]","[-0.49863988161087036, 1.7416883707046509, 0.2012929916381836]","[1.0982413309768817, -1.1953605588572052, -17.192026447189864]"
16.300000,"[8.95714282989502, -3.661010503768921, -9.976104736328125]","[9.565055666515459, -2.7902613564328504, -10.0]","[-1.3850624561309814, -2.293877363204956, -0.12993685901165009]","[0.5797485272401144, 0.0790418064500096, -0.09919074151244117, 0.0]","[-0.409974604845047, 0.2912556529045105, 0.27303019165992737]","[-0.4933443069458008, 1.742249608039856, 0.20365428924560547]","[1.092227646273302, -1.193145606310505, -17.197425780830798]"
16.310000,"[8.936257362365723, -3.6952452659606934, -9.978015899658203]","[9.55035046064284, -2.831611442929805, -10.0]","[-1.399488091468811, -2.2706148624420166, -0.12488415837287903]","[0.5798661340264966, 0.08159074791696817, -0.09903032003285972, 0.0]","[-0.4065293073654175, 0.30727970600128174, 0.28099125623703003]","[-0.4888339042663574, 1.744220495223999, 0.20566272735595703]","[1.0861678004242843, -1.1910420067376724, -17.202920341340718]"
16.320000,"[8.915157318115234, -3.729128837585449, -9.979851722717285]","[9.535406496506116, -2.8726783706421353, -10.0]","[-1.413865327835083, -2.2470505237579346, -0.11985252052545547]","[0.5800121017047213, 0.08413388212758811, -0.09887551833154727, 0.0]","[-0.4035853445529938, 0.3229347765445709, 0.2877594530582428]","[-0.48465466499328613, 1.7473702430725098, 0.2072763442993164]","[1.080068413363862, -1.1890453660518177, -17.20849051745784]"
16.330000,"[8.893842697143555, -3.7626564502716064, -9.981611251831055]","[9.520224147703617, -2.9134580329112922, -10.0]","[-1.4281997680664062, -2.223186731338501, -0.11485141515731812]","[0.5801869971791147, 0.08667003297298681, -0.09872442688735507, 0.0]","[-0.40115365386009216, 0.33832600712776184, 0.2932489216327667]","[-0.48087745904922485, 1.7510600090026855, 0.20845317840576172]","[1.073936154705632, -1.1871525338037425, -17.21411552630913]"
16.340000,"[8.872313499450684, -3.7958240509033203, -9.983296394348145]","[9.50480379379327, -2.9539463518050315, -10.0]","[-1.4424948692321777, -2.199021339416504, -0.109890878200531]","[0.5803888175471604, 0.08919678358221737, -0.09857585187496065, 0.0]","[-0.39918646216392517, 0.3535902202129364, 0.2975156307220459]","[-0.47759848833084106, 1.7550853490829468, 0.20912551879882812]","[1.0677770648618519, -1.1853619416694958, -17.21977562659037]"
16.350000,"[8.850569725036621, -3.828627109527588, -9.984908103942871]","[9.489145820283118, -2.9941392785252035, -10.0]","[-1.4567521810531616, -2.1745529174804688, -0.10498148202896118]","[0.5806163389579562, 0.09171158158760173, -0.0984294089865596, 0.0]","[-0.3976770043373108, 0.36867931485176086, 0.30056077241897583]","[-0.47470325231552124, 1.7595489025115967, 0.20923900604248047]","[1.0615970699247108, -1.1836713827485221, -17.225451279213544]"
16.360000,"[8.828611373901367, -3.861060619354248, -9.986448287963867]","[9.473250618621686, -3.0340327938126306, -10.0]","[-1.4709738492965698, -2.1497817039489746, -0.10013324022293091]","[0.5803308544049585, 0.09422005914256748, -0.09828303428451658, 0.0]","[-0.39541491866111755, 0.38999488949775696, 0.3365994095802307]","[-0.4729503393173218, 1.7649712562561035, 0.1999359130859375]","[1.0553875312521748, -1.1821554177753695, -17.231636372735615]"
16.370000,"[8.806438446044922, -3.893120527267456, -9.98791217803955]","[9.457118586188185, -3.073622908349029, -10.0]","[-1.485162377357483, -2.124708890914917, -0.09535273164510727]","[0.5804090385621272, 0.0967150724616437, -0.098137047123157, 0.0]","[-0.39449670910835266, 0.4064178168773651, 0.34841063618659973]","[-0.47084444761276245, 1.7702209949493408, 0.19565391540527344]","[1.0491649234626348, -1.1807551551084323, -17.237966452060157]"
16.380000,"[8.784055709838867, -3.92480206489563, -9.989304542541504]","[9.44075012628259, -3.112905663155937, -10.0]","[-1.4993109703063965, -2.0993425846099854, -0.090554378926754]","[0.5806474155045717, 0.09919543282161096, -0.09799685941848246, 0.0]","[-0.3943443298339844, 0.4209032356739044, 0.35096070170402527]","[-0.4684779644012451, 1.7757030725479126, 0.19546031951904297]","[1.0429389428679618, -1.179447210096952, -17.244300400918238]"
16.390000,"[8.761459350585938, -3.9561007022857666, -9.990625381469727]","[9.424145648115541, -3.1518771299906074, -10.0]","[-1.5134246349334717, -2.07368540763855, -0.08577398955821991]","[0.5809621117117976, 0.10165963195563117, -0.09785907722587428, 0.0]","[-0.3947671353816986, 0.43483904004096985, 0.3494957685470581]","[-0.46614861488342285, 1.7807053327560425, 0.1966543197631836]","[1.03671684976123, -1.1782248358555685, -17.2505763325895]"
16.400000,"[8.738652229309082, -3.9870123863220215, -9.991874694824219]","[9.40730556679813, -3.190533411738835, -10.0]","[-1.5275098085403442, -2.047727346420288, -0.08106957376003265]","[0.5813159939652913, 0.1041021857654622, -0.09772278177116604, 0.0]","[-0.39570531249046326, 0.4488585293292999, 0.3458428382873535]","[-0.46403270959854126, 1.7853612899780273, 0.19710254669189453]","[1.0305051493097357, -1.1770887245786879, -17.256760635530465]"
16.410000,"[8.715633392333984, -4.0175323486328125, -9.993057250976562]","[9.390230303331512, -3.228870642804657, -10.0]","[-1.5415698289871216, -2.021462917327881, -0.07646694034337997]","[0.5816928122506343, 0.10651878112288556, -0.09758648152693022, 0.0]","[-0.3971308767795563, 0.46280723810195923, 0.34079575538635254]","[-0.46212631464004517, 1.7904763221740723, 0.19625568389892578]","[1.0243099373520335, -1.1760375939167598, -17.26283212174278]"
16.420000,"[8.692403793334961, -4.047656059265137, -9.994170188903809]","[9.372920284596384, -3.2668849894969156, -10.0]","[-1.5556074380874634, -1.9948961734771729, -0.07197984308004379]","[0.5820859895902375, 0.10890891733786569, -0.09744971254586385, 0.0]","[-0.3989994525909424, 0.47669607400894165, 0.33471912145614624]","[-0.4604271650314331, 1.795994758605957, 0.19407939910888672]","[1.0181367473760088, -1.1750702893954328, -17.268775201311225]"
16.430000,"[8.668964385986328, -4.07737922668457, -9.995217323303223]","[9.355375943342315, -3.3045726504126187, -10.0]","[-1.569624423980713, -1.9680298566818237, -0.06761687994003296]","[0.5824915641203103, 0.1112718924182091, -0.09731235993679574, 0.0]","[-0.4013150930404663, 0.4906933903694153, 0.32771411538124084]","[-0.45893383026123047, 1.801450490951538, 0.1906566619873047]","[1.0119911430083741, -1.1741876615256255, -17.27457603397023]"
16.440000,"[8.64531421661377, -4.106697082519531, -9.996199607849121]","[9.33759771817692, -3.341929856817082, -10.0]","[-1.5836220979690552, -1.9408625364303589, -0.06338471919298172]","[0.5829075088481244, 0.11360524707565685, -0.09717361232649632, 0.0]","[-0.40407657623291016, 0.504896879196167, 0.3198576271533966]","[-0.45762473344802856, 1.8068512678146362, 0.18613243103027344]","[1.0058786237160025, -1.1733916575612748, -17.28022205857735]"
16.450000,"[8.621454238891602, -4.1356048583984375, -9.997118949890137]","[9.319586053554904, -3.378952873020796, -10.0]","[-1.5976016521453857, -1.9133936166763306, -0.059288691729307175]","[0.5833308667059057, 0.1159067615476936, -0.09703354532286783, 0.0]","[-0.4072470963001251, 0.5192729830741882, 0.31130409240722656]","[-0.45647233724594116, 1.8124452829360962, 0.18064498901367188]","[0.9998042357507427, -1.1726837554330751, -17.285703161986433]"
16.460000,"[8.59738540649414, -4.164098262786865, -9.997978210449219]","[9.301341399766944, -3.415637996752993, -10.0]","[-1.6115642786026, -1.8856260776519775, -0.05533326417207718]","[0.5837585665842442, 0.11817578401158492, -0.0968921885935444, 0.0]","[-0.4107941687107086, 0.5338127613067627, 0.3021812438964844]","[-0.45546048879623413, 1.8181854486465454, 0.17429733276367188]","[0.9937726239067541, -1.1720653101297942, -17.29101129128959]"
16.470000,"[8.57310676574707, -4.192173480987549, -9.998779296875]","[9.282864212928434, -3.4519815595318692, -10.0]","[-1.6255104541778564, -1.85756254196167, -0.051517266780138016]","[0.5841895405502797, 0.12041178587478164, -0.09674894349226022, 0.0]","[-0.414706826210022, 0.5485690236091614, 0.2925547957420349]","[-0.45456475019454956, 1.8239054679870605, 0.1673135757446289]","[0.9877882615914697, -1.1715382984739415, -17.296139413243047]"
16.480000,"[8.548619270324707, -4.219825267791748, -9.99952507019043]","[9.264154954968083, -3.487979927031434, -10.0]","[-1.6394397020339966, -1.829206943511963, -0.04783257842063904]","[0.5846218675760747, 0.12261386551038511, -0.09660437606028535, 0.0]","[-0.4188951849937439, 0.5634021759033203, 0.282665491104126]","[-0.45371609926223755, 1.8299877643585205, 0.16007137298583984]","[0.9818545517942553, -1.1711029974500453, -17.30108406118106]"
16.490000,"[8.52392292022705, -4.2470502853393555, -10.000215530395508]","[9.245214093616365, -3.523629499444936, -10.0]","[-1.6533550024032593, -1.800565481185913, -0.044300101697444916]","[0.5850500702273091, 0.12478291924609405, -0.09645719420328637, 0.0]","[-0.42333054542541504, 0.5783411860466003, 0.2725939452648163]","[-0.45299023389816284, 1.8361220359802246, 0.15200519561767578]","[0.9759745014035075, -1.1707600696498057, -17.305843291206173]"
16.500000,"[8.499018669128418, -4.273842811584473, -10.0008544921875]","[9.226042102393828, -3.558926711844842, -10.0]","[-1.6672579050064087, -1.7716376781463623, -0.04093300551176071]","[0.5854734658646824, 0.12691662994074066, -0.09630717218725938, 0.0]","[-0.42811575531959534, 0.5937697887420654, 0.2620875835418701]","[-0.45244812965393066, 1.8414990901947021, 0.14287662506103516]","[0.9701523351556143, -1.1705146934875805, -17.31041167133104]"
16.510000,"[8.473905563354492, -4.300199031829834, -10.001445770263672]","[9.206639460599252, -3.5938680345393244, -10.0]","[-1.6811468601226807, -1.7424172163009644, -0.037717871367931366]","[0.5858925365403748, 0.12901102360403902, -0.09615443827616495, 0.0]","[-0.4332221746444702, 0.609542727470398, 0.2512829899787903]","[-0.45199912786483765, 1.8467684984207153, 0.13329029083251953]","[0.9643919182562677, -1.170370180727436, -17.31478572004836]"
16.520000,"[8.448583602905273, -4.326115131378174, -10.001989364624023]","[9.187006653297676, -3.6284499734252345, -10.0]","[-1.6950215101242065, -1.7129065990447998, -0.034653790295124054]","[0.5863027404544039, 0.131065156440901, -0.09599890521212427, 0.0]","[-0.4384678900241852, 0.6253867149353027, 0.24056291580200195]","[-0.45158445835113525, 1.8526231050491333, 0.12335014343261719]","[0.9586949210094249, -1.1703265448648015, -17.318967683484665]"
16.530000,"[8.423053741455078, -4.351585865020752, -10.002487182617188]","[9.167144171308255, -3.662669070337499, -10.0]","[-1.708882451057434, -1.683115005493164, -0.03173946216702461]","[0.5867018567618273, 0.1330799937270492, -0.09584044983469539, 0.0]","[-0.4438052177429199, 0.6412783265113831, 0.23000715672969818]","[-0.4512171745300293, 1.8586061000823975, 0.11308574676513672]","[0.9530624363437745, -1.1703835510120568, -17.32296103669878]"
16.540000,"[8.397315979003906, -4.376607894897461, -10.002942085266113]","[9.147052511192006, -3.696521903394944, -10.0]","[-1.7227295637130737, -1.6530461311340332, -0.028973249718546867]","[0.5870901417248816, 0.13505539413238607, -0.09567880178431032, 0.0]","[-0.44926923513412476, 0.657338559627533, 0.21951958537101746]","[-0.450904905796051, 1.8642939329147339, 0.10253429412841797]","[0.947495963122314, -1.1705424186691102, -17.32676786552731]"
16.550000,"[8.371370315551758, -4.401176929473877, -10.00335693359375]","[9.126732175239386, -3.7300050873424744, -10.0]","[-1.7365624904632568, -1.6227004528045654, -0.026353254914283752]","[0.5874661289432124, 0.13698943479549833, -0.09551373293904102, 0.0]","[-0.45480698347091675, 0.6735268235206604, 0.20918771624565125]","[-0.45063596963882446, 1.8699231147766113, 0.09175395965576172]","[0.9419963524755478, -1.1708038246168992, -17.33039161730174]"
16.560000,"[8.34521770477295, -4.425288677215576, -10.00373363494873]","[9.106183671457737, -3.7631152738895977, -10.0]","[-1.7503811120986938, -1.5920817852020264, -0.023876899853348732]","[0.5878272492674244, 0.1388812900085028, -0.0953452510940389, 0.0]","[-0.4603171944618225, 0.6897146701812744, 0.19918794929981232]","[-0.45040082931518555, 1.8757073879241943, 0.0807943344116211]","[0.9365632434415363, -1.1711668875688097, -17.333838398182653]"
16.570000,"[8.31885814666748, -4.448939323425293, -10.004073143005371]","[9.08540751355858, -3.79584915204525, -10.0]","[-1.7641843557357788, -1.5611971616744995, -0.021536873653531075]","[0.5881732779501255, 0.14073153577952735, -0.09517323236190625, 0.0]","[-0.46575722098350525, 0.7058643698692322, 0.18957214057445526]","[-0.45017218589782715, 1.881456971168518, 0.06981182098388672]","[0.9311957594591878, -1.1716303034510482, -17.337115008257218]"
16.580000,"[8.292291641235352, -4.4721245765686035, -10.004379272460938]","[9.064404220944782, -3.828203448448895, -10.0]","[-1.7779717445373535, -1.5300530195236206, -0.019324200227856636]","[0.589093252593424, 0.1425437579696936, -0.09499988269718083, 0.0]","[-0.473190039396286, 0.7248473763465881, 0.14357131719589233]","[-0.44898319244384766, 1.8862156867980957, 0.06861686706542969]","[0.925917768603632, -1.1722272381770151, -17.33967668137502]"
16.590000,"[8.265519142150879, -4.494840621948242, -10.004652976989746]","[9.043174318697565, -3.8601749276978548, -10.0]","[-1.791744351387024, -1.498654842376709, -0.017252055928111076]","[0.5896083706338904, 0.14431587956048292, -0.09482280223029466, 0.0]","[-0.47907981276512146, 0.7421137690544128, 0.12365935742855072]","[-0.44847410917282104, 1.8912888765335083, 0.06074333190917969]","[0.9207106974471335, -1.1729362677450446, -17.341915982954095]"
16.600000,"[8.238539695739746, -4.517084121704102, -10.004897117614746]","[9.021718337563378, -3.8917603926708457, -10.0]","[-1.8055095672607422, -1.4669933319091797, -0.015399709343910217]","[0.5899639388477677, 0.14604148320855945, -0.09463746313216578, 0.0]","[-0.4843338429927826, 0.7587084174156189, 0.11244463920593262]","[-0.44842028617858887, 1.8968602418899536, 0.04824256896972656]","[0.9155667361939284, -1.1737483463667915, -17.34396587035794]"
16.610000,"[8.211353302001953, -4.538850784301758, -10.00511646270752]","[9.000036813940632, -3.922956684847692, -10.0]","[-1.8192665576934814, -1.4350740909576416, -0.013760962523519993]","[0.5902426179478575, 0.14771977295169514, -0.09444327642575774, 0.0]","[-0.4892508387565613, 0.7748622298240662, 0.10436095297336578]","[-0.44863462448120117, 1.9025934934616089, 0.033123016357421875]","[0.910481652484758, -1.1746571983134746, -17.345875843583496]"
16.620000,"[8.183960914611816, -4.560136318206787, -10.005311965942383]","[8.978130289866291, -3.9537606846251743, -10.0]","[-1.833006739616394, -1.4029113054275513, -0.012253197841346264]","[0.5904861781673759, 0.14935325754908563, -0.09424320494307144, 0.0]","[-0.49385949969291687, 0.7906069159507751, 0.09766179323196411]","[-0.44877851009368896, 1.908351182937622, 0.01851177215576172]","[0.9054516624899993, -1.1756570294018027, -17.34766799153004]"
16.630000,"[8.156362533569336, -4.58093786239624, -10.005484580993652]","[8.955999313002312, -3.9841693116289822, -10.0]","[-1.8467298746109009, -1.3705118894577026, -0.010872254148125648]","[0.5907042337229079, 0.15094246782620527, -0.09403649965393139, 0.0]","[-0.4982216954231262, 0.8060495257377625, 0.09167508035898209]","[-0.44890183210372925, 1.9137589931488037, 0.0043697357177734375]","[0.9004737104114074, -1.1767433701543102, -17.349354285234476]"
16.640000,"[8.128558158874512, -4.601251125335693, -10.005638122558594]","[8.933644436621966, -4.014179525021757, -10.0]","[-1.8604328632354736, -1.3378801345825195, -0.00959566980600357]","[0.5909032198031129, 0.1524862631807245, -0.09382358254731647, 0.0]","[-0.5023616552352905, 0.8212340474128723, 0.08616828173398972]","[-0.44895923137664795, 1.9187690019607544, -0.0088653564453125]","[0.8955450510390693, -1.1779122589929527, -17.350942973816657]"
16.650000,"[8.10054874420166, -4.6210737228393555, -10.005773544311523]","[8.911066219595998, -4.043788323807169, -10.0]","[-1.8741141557693481, -1.3050200939178467, -0.008415540680289268]","[0.5910836783607547, 0.15398403992414253, -0.09360469907054712, 0.0]","[-0.506197988986969, 0.8360193371772766, 0.08121150732040405]","[-0.4489198923110962, 1.9237847328186035, -0.021251678466796875]","[0.8906619819412712, -1.179158053285018, -17.352443265233077]"
16.660000,"[8.072334289550781, -4.640401363372803, -10.005890846252441]","[8.888265226378657, -4.072992747130011, -10.0]","[-1.887772560119629, -1.2719403505325317, -0.007325322367250919]","[0.5912460031518936, 0.15543597449925456, -0.09337944066249236, 0.0]","[-0.5096941590309143, 0.850330650806427, 0.07683079689741135]","[-0.4487835764884949, 1.9287612438201904, -0.032891273498535156]","[0.8858203590019211, -1.1804742427455361, -17.35386465987086]"
