,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.0,"[0.2729687984085486, -0.1781462239388223, 2.608990683746641]","[0.5269676834159035, -0.2011713741028458, 2.6256078445053674]","[1.5935434386182479, -0.5678770625708072, 0.9435109917281134]","[1.3339103775135386, -0.5308831937143714, 0.8800777453844711]","[-0.04505966416728964, -0.156921145412218, 0.0009365601705055835, -0.9865816985140454]","[[0.9507486981552924, 0.015989614473597938, 0.3095466581736002], [0.012293641978485927, 0.9959364432405194, -0.08920401220668056], [-0.30971546252062193, 0.08861614782786778, 0.9466897057754604]]","[-0.1944185664752901, -0.5609349083173802, -0.014046550376959873]",[0.39128253801693813],"[-0.01129556850784231, -0.04676370000685309, 0.0, -0.998839789830239]",[0.416154571009685],"[-7.549051280979194, 2.1754577051181267, 2.8502993766485183]","[908.8865191682415, 875.9131478172004, 879.1849426165209, 893.1169334340108]"
1,0.019999999999999574,"[0.3069411974293548, -0.19009697649001187, 2.6282952061686964]","[0.5564168180201631, -0.2129247254987504, 2.6448918078371935]","[1.6212882984472916, -0.5797769686367735, 0.911438553972003]","[1.3419343393949648, -0.5371197862554848, 0.8718823662478753]","[-0.04282840291594506, -0.14992518983627645, 0.0011235371141120982, -0.9877671955088618]","[[0.9550394797366822, 0.015061699083628451, 0.2960861300009966], [0.010622526666601942, 0.9963260606389083, -0.08494587590305594], [-0.2962786072018534, 0.08427208984257051, 0.9513734602153148]]","[-0.22992081624905325, -0.7096452046251732, -0.017689115815308683]",[0.3848566213865283],"[-0.0065390024355073285, -0.03219369820562875, 0.0, -0.9994519094222939]",[0.41615738826663723],"[-7.10215057001437, 2.037577379809139, 3.11726147452838]","[865.5273530197558, 883.1022743484185, 852.0618362086007, 882.4336322025088]"
2,0.03999999999999915,"[0.33980318171578827, -0.20162831028521516, 2.646132486557851]","[0.5814974782615289, -0.22298919169213732, 2.661073155513536]","[1.6425067729099576, -0.5933284556956001, 0.888036900353372]","[1.3454428695231382, -0.541279636076364, 0.8619474183182345]","[-0.040965614793147496, -0.14381294483820767, 0.0013194332736762436, -0.9887527049121126]","[[0.9586261890591988, 0.01439195783761723, 0.2842827736298392], [0.009173584964423512, 0.9966341520745124, -0.08138922803943427], [-0.28449897921077794, 0.08063022170101469, 0.9552733076767651]]","[-0.25325029749652034, -0.8019503919707641, -0.019899706275188982]",[0.37731541471743085],"[-0.0010952349993707962, -0.018085633039733505, 0.0, -0.9998247548074168]",[0.4161602055235894],"[-3.48075370934902, 0.508022155743409, -0.3416580948796941]","[851.4810469373654, 891.2848491800612, 834.7103937717494, 888.9670889991585]"
3,0.05999999999999872,"[0.37270493334529586, -0.21331388754308614, 2.6632540194104903]","[0.6080860803240433, -0.2337153234059075, 2.6779767031777273]","[1.6687102650265342, -0.601115019010312, 0.8542747904695452]","[1.3459099289681213, -0.5445647340740609, 0.8485176216332073]","[-0.038159635102157786, -0.13531517824472333, 0.0015113465621474974, -0.9900627123404406]","[[0.9633678504862078, 0.013319811404416468, 0.2678256799209531], [0.007334499897991861, 0.9970759299107507, -0.07596987992122073], [-0.26805636965425084, 0.07515184740343459, 0.96046010332081]]","[-0.2907723294537685, -0.9042651927691178, -0.017806968942405917]",[0.3711110766972793],"[0.003569760960513501, -0.00157628539674422, 0.0, -0.9999818178428396]",[0.4161630227805417],"[-3.4868726445107985, 0.6767127850668746, 0.11833933368749427]","[841.5607861366885, 871.588615830839, 808.9376393864799, 872.668665229301]"
4,0.0799999999999983,"[0.4021383924895194, -0.22364515819996889, 2.67792240989773]","[0.6288278488787379, -0.24212361860676518, 2.6909821292085634]","[1.6820317818517623, -0.6109588846774382, 0.8324509642145467]","[1.344031690783081, -0.5463527091645963, 0.8360392646752495]","[-0.03546862918285466, -0.12688020609842815, 0.001706939798637358, -0.9912797696894592]","[[0.9677921051086423, 0.012384643742432668, 0.2514264773292913], [0.005616424180564621, 0.9974732311955798, -0.07075182288205943], [-0.25166864858831256, 0.06988551538826455, 0.965281885083373]]","[-0.3231863882624673, -0.9842969668372605, -0.013778353954626031]",[0.364115215951623],"[0.008893478964950624, 0.012747893658112587, 0.0, -0.9998718652858412]",[0.41616584003749374],"[-4.417749338103961, 0.021110625728661292, 0.09458756293902226]","[836.3725700262629, 850.2697218888292, 815.0459186680646, 824.2788429499985]"
5,0.10000000000000142,"[0.4372248481947453, -0.23617804378125015, 2.694732733331272]","[0.6662683471389986, -0.2574164820151411, 2.7139471054127244]","[1.691691006278259, -0.6227461495065856, 0.7939009549306235]","[1.3347154981889353, -0.5475362675532963, 0.8082108706397826]","[-0.03202169330917021, -0.11603962122142729, 0.0019045823452092546, -0.992725906349493]","[[0.9730612928526868, 0.011213026794659848, 0.23026910039550583], [0.0036501138551994464, 0.9979409025543383, -0.06401954305422917], [-0.23051305220246723, 0.06313551499853677, 0.9710177700357331]]","[-0.3439842804440168, -1.0726090273105684, -0.014164217104654844]",[0.3591401183279761],"[0.015409839300013752, 0.028318898709010512, 0.0, -0.9994790001393011]",[0.41616865729444597],"[-3.1767621886951813, 0.6547475430976388, -0.5442347128877074]","[773.6689943838549, 881.8114362772654, 763.007007364516, 868.8586873735098]"
6,0.120000000000001,"[0.47203868929708154, -0.2486551521292817, 2.71052331026916]","[0.690548385581105, -0.26740705883985666, 2.7285153148970527]","[1.7094375299768665, -0.6225498793995108, 0.7624463941014713]","[1.325112556430254, -0.547077089916591, 0.7869692025811922]","[-0.02826841755330216, -0.10437620885573828, 0.0020823707927580593, -0.9941318930548575]","[[0.9781985949765872, 0.010041402945622797, 0.2074097055451476], [0.0017607980726359416, 0.998389174064845, -0.05663977084941889], [-0.20764516685342954, 0.05577037097429888, 0.9766090606508887]]","[-0.3689726477223085, -1.1827757569644173, -0.015045166460870419]",[0.3532825014059952],"[0.019675435657222237, 0.04695529603343698, 0.0, -0.9987013916199959]",[0.41617147455139814],"[-3.3608396798132114, 1.3518034080609778, -0.0666713029509296]","[775.6829763371227, 861.1424281233827, 752.6194295775622, 852.1490610334068]"
7,0.14000000000000057,"[0.5080395782483734, -0.2614959008174468, 2.7260920729956593]","[0.7175849212088175, -0.27861452974118567, 2.744370989387544]","[1.7084617763311758, -0.623202367353552, 0.7251533171565534]","[1.3106224826498312, -0.545259775005596, 0.7599016036638779]","[-0.02317742729354419, -0.08865126738209393, 0.0023059495522621916, -0.995787253324722]","[[0.9842650824081524, 0.008701886950363134, 0.17644871214416138], [-0.0004830537334470251, 0.9989087905531604, -0.04656842402819806], [-0.17666249605652193, 0.045750722626889194, 0.9832013309429325]]","[-0.4052341073531213, -1.235438684790822, -0.009166830694978194]",[0.3496734518724893],"[0.024566033290730812, 0.06267397019590948, 0.0, -0.997719946138104]",[0.4161742918083503],"[-4.208727002680227, 0.9289030747445707, -0.23025155073099768]","[784.0951620170861, 802.4188345906604, 781.5009324287531, 782.1361156467314]"
8,0.16000000000000014,"[0.536396111568289, -0.27162745510152686, 2.737822157347472]","[0.7433216515259209, -0.28937343119140285, 2.7590643812459112]","[1.7067335664003807, -0.6241125927764949, 0.6910520494612615]","[1.2928948322348988, -0.5421782803470617, 0.7305900302481397]","[-0.02065419349670424, -0.08069450237336633, 0.002383067546297418, -0.9965171711273885]","[[0.9869557863365167, 0.008082895191963115, 0.1607284737848448], [-0.001416175727404044, 0.9991258003450886, -0.04154911785004801], [-0.16092535513771258, 0.040779916050965655, 0.9861139529403785]]","[-0.4205231154115862, -1.291950266490798, -0.007224488789168066]",[0.3443302120948891],"[0.029425547234050164, 0.07797866616363365, 0.0, -0.996502632862402]",[0.4161771090653024],"[-3.754611424709845, 0.6097569093657298, 0.029233458695376413]","[749.5734452655853, 831.2101936336196, 749.9586878448339, 809.4873492909162]"
9,0.17999999999999972,"[0.5698860007819851, -0.2836448901068372, 2.7510277129722622]","[0.7698121867246116, -0.3005245931723478, 2.773846178419207]","[1.7030432024599462, -0.6274447177693707, 0.6530889780490704]","[1.2714414388531963, -0.5379061934793312, 0.6975249971912845]","[-0.016488332667542273, -0.06768179218349477, 0.0025096148836019436, -0.9975564031519921]","[[0.9908035194236616, 0.007238884603279169, 0.1349500516087588], [-0.0027750449830514726, 0.99942143918169, -0.03323579412563903], [-0.1351155690690318, 0.03255637319358882, 0.9902723855290785]]","[-0.44150927061993755, -1.3837231485933235, -0.006270793274466457]",[0.3404264401916439],"[0.0355036253998802, 0.09462519390207584, 0.0, -0.9948622159452407]",[0.41617992632225465],"[-3.5802242972512124, 0.2438982213889263, 0.1421477406398779]","[738.6353833972406, 820.5978434739292, 731.5978434739292, 813.0]"
