,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.0,"[0.27888631798320207, 0.10075892516482764, 2.2226641062731702]","[0.45669714874928014, 0.10517848196463975, 2.288579083176049]","[0.8758663686625179, 0.16284299928077603, 0.1460126798783521]","[0.4425538808968656, 0.033997697531097756, 0.2573056128030721]","[-0.02250971482259479, 0.04541710833415068, 0.0009047395268229855, -0.9986930118170165]","[[0.9958308868304906, -0.00023753822743175033, -0.09075622827798034], [-0.0038517663992427495, 0.9989429397665736, -0.04487840847643085], [0.09067476656303029, 0.04504277108884648, 0.9948191494149243]]","[0.36435460712995316, -1.3599922445337356, -0.01897014642383763]",[0.523486213592862],"[-0.05470449995626961, 0.15018272145206413, 0.0, -0.987134452694376]",[0.45640257434095644],"[2.7000018411724316, 1.335134654826229, -3.6582740878662925]","[981.6871344045624, 1187.6889577209838, 1000.2035917052765, 1168.6448487840435]"
1,0.020000000000003126,"[0.29750953053714896, 0.10391990192883076, 2.2277255459295153]","[0.4656952360715475, 0.10574958049671684, 2.2941825427917406]","[0.8345791280266214, 0.14395712649495454, 0.191912008741916]","[0.39709281858359585, 0.016595171911405176, 0.2739274711480339]","[-0.026403247988657882, 0.05979355504647172, 0.000990191425765674, -0.9978442519380861]","[[0.9928140329260741, -0.0011813744789936059, -0.11938159895167216], [-0.00513360176906823, 0.9985703083675639, -0.05257424434491007], [0.11927702187258923, 0.05281107260700233, 0.9914217308754922]]","[0.35745091842842647, -1.3282620091005541, -0.015988340057232386]",[0.5241472848451818],"[-0.056491191962458095, 0.15801522105472135, 0.0, -0.9858150712897568]",[0.45642187454932687],"[3.555942581224319, 1.5659950594013967, -3.593198753453464]","[978.7257224957707, 1198.888704378632, 1016.2055861002576, 1162.534837086948]"
2,0.03999999999999915,"[0.31419665707276045, 0.10654020625128552, 2.2331825748912197]","[0.4722512928620359, 0.10592258225430781, 2.2990176882219977]","[0.784066636528754, 0.11462842795114442, 0.20916575695822473]","[0.3578903027095793, 0.0017945708172900678, 0.28762297367196565]","[-0.02996479385928426, 0.07297365617167001, 0.001048391575245599, -0.9968683642542211]","[[0.9893181709019597, -0.002283064339258784, -0.14555308819787735], [-0.00646349791811073, 0.9981727021500231, -0.05958890014674876], [0.14542742884813317, 0.05989492001212975, 0.987524591409691]]","[0.347128129453565, -1.2843536948569942, -0.0136146067290501]",[0.5280998020866176],"[-0.056105427122829864, 0.16329900338518233, 0.0, -0.9849780402321523]",[0.45644117475769735],"[-2.6636927164363033, -0.8713137559466324, -0.5178722611364606]","[974.565999749718, 1208.4765005631346, 1024.2595004379937, 1162.0]"
3,0.060000000000002274,"[0.32921833227734454, 0.10864388310086905, 2.239131008566207]","[0.47900122468898787, 0.1057450301114741, 2.3050966559332133]","[0.730272059557392, 0.10435015810427144, 0.245223059584731]","[0.30880192348616364, -0.016495309401489657, 0.3040198596835441]","[-0.0331503843697069, 0.08521844403710424, 0.001131030392609015, -0.9957949783552439]","[[0.9854431244675259, -0.0033974995797822908, -0.16979518545528918], [-0.007902597121091159, 0.9977695949080174, -0.06582920327136697], [0.16964520908629396, 0.06621474187223424, 0.9832477869593054]]","[0.3317402174827296, -1.2477610509044854, -0.016027652125225826]",[0.529264846704219],"[-0.05930239116112844, 0.16877325202506438, 0.0, -0.9838642887739555]",[0.45646047496606784],"[-1.7060221804265874, 0.4817572007264961, 1.7010244869547364]","[982.1106695928637, 1212.3599889842499, 1006.0473697876355, 1191.1074453991455]"
4,0.0799999999999983,"[0.3414582408354684, 0.11017181759507756, 2.244851555885525]","[0.4847971916465379, 0.10513866038487439, 2.3117213906972025]","[0.6796879303758451, 0.08739954416322875, 0.28386531367899376]","[0.25571809298746495, -0.036031913546412324, 0.3210024922665948]","[-0.03591927021978822, 0.09550883157647728, 0.001172695330698404, -0.9947612462397375]","[[0.9817168188701153, -0.004528111322293327, -0.19010121337277316], [-0.00919431879679359, 0.9973803047420788, -0.07123819049405644], [0.1899327239308978, 0.07168620153737723, 0.9791391813525483]]","[0.3242288087880224, -1.2087336876432546, -0.015666023699558287]",[0.529699017212895],"[-0.06133756000203894, 0.1747694612801029, 0.0, -0.9826896521703912]",[0.4564797751744382],"[-1.4531780557367924, -0.6835119271434804, 0.232147805308081]","[992.178238241557, 1212.3002326534088, 993.8576167215316, 1214.1898520474997]"
5,0.10000000000000142,"[0.354476815000915, 0.11154701480101407, 2.252001245714527]","[0.48991526255296636, 0.10414261405373978, 2.3189968974994204]","[0.6179352571864323, 0.06210474594271148, 0.3053147814855968]","[0.19786141375017247, -0.05713674988755745, 0.3389291450949738]","[-0.039037987540580396, 0.10691769809601602, 0.0011893491840180418, -0.9934831133941082]","[[0.9770998523528367, -0.005984506871777647, -0.21253471475997682], [-0.010710900192781592, 0.9969147117427013, -0.07731283785093727], [0.21234899556546843, 0.0778214877588876, 0.9740547525133627]]","[0.31052630254421343, -1.1600989246696758, -0.013475069417403512]",[0.5319298842716036],"[-0.06174697348878277, 0.17856424251124983, 0.0, -0.9819885393859148]",[0.45649907538280865],"[-3.2334047203528034, -1.3537885838666388, 0.5463394474446339]","[985.493730526086, 1226.4381017399662, 1006.9572980694908, 1210.755362030396]"
6,0.11999999999999744,"[0.36829790926671846, 0.11258212003681702, 2.2612911178452073]","[0.4933742657110445, 0.10293167651374792, 2.3255784377042685]","[0.5366445563764535, 0.033334527804167305, 0.34817464047817376]","[0.14604562919141512, -0.0758657385353351, 0.3544508785860551]","[-0.04236033542950255, 0.11968508032838333, 0.001240155030470093, -0.9918952859105916]","[[0.9713245997916431, -0.007679592440191368, -0.23753520070925843], [-0.012600008154277732, 0.9963848406626663, -0.08373717793534706], [0.23732506717695723, 0.08433089015311292, 0.9677388797252424]]","[0.2827456681730746, -1.0911035308747656, -0.01264079947750388]",[0.5302238689278884],"[-0.062000524324844174, 0.18057339317742177, 0.0, -0.9816050527329395]",[0.4565183755911791],"[-3.3254067883718994, -1.2155315812873013, 3.0541510067889455]","[999.1185460009295, 1215.4064794338033, 1030.0961663486614, 1192.8711617161002]"
7,0.14000000000000057,"[0.3788846351769249, 0.11300151839623657, 2.2702590353629524]","[0.4955239821818569, 0.10133867881845013, 2.3322699522083195]","[0.46250151083129987, 0.006818302090676978, 0.3922493098336417]","[0.09414060186016568, -0.09443222981127414, 0.369396558550313]","[-0.045083814715445134, 0.12993244513069804, 0.0012546943169025324, -0.9904873950565946]","[[0.9662138155598243, -0.00923018275251206, -0.2575060310338935], [-0.014201218374676468, 0.9959135954565148, -0.08898384939245735], [0.25727976540946246, 0.0896359513944043, 0.9621518633768888]]","[0.2606812644234291, -0.9884634661424503, -0.006879386194423436]",[0.5280361605750575],"[-0.0625652730351992, 0.18350016572838795, 0.0, -0.9810256707804653]",[0.45653767579954957],"[-2.052176201571971, -0.5557313767162895, 0.9794605736685185]","[1003.628245422443, 1219.2585429572732, 1013.0322345454282, 1217.9194710507907]"
8,0.1599999999999966,"[0.3879667284635923, 0.1128444725569296, 2.2800081187310224]","[0.49684350760752183, 0.09923337976173506, 2.339867018655024]","[0.3876153059635838, -0.015575240834185346, 0.41020922215932976]","[0.03598273294232822, -0.11507939383237875, 0.385659935426038]","[-0.047629016577812336, 0.13957609689905312, 0.0012201575881226146, -0.9890569434342932]","[[0.9610191849656424, -0.01088213379690926, -0.27621364536291687], [-0.015709355135376107, 0.9954451121764512, -0.09387500944296086], [0.275981185738948, 0.09455622877796853, 0.9564851160943831]]","[0.24248844483077284, -0.9301636465299856, -0.007058040236616513]",[0.5289347868661257],"[-0.06339071636245358, 0.18501526978882785, 0.0, -0.9806888805040359]",[0.4565569760079201],"[-1.4523199509490627, 0.1002482503446247, 0.6245401276593832]","[985.4432232603235, 1233.8737841987138, 1013.4728229237884, 1223.140184783489]"
9,0.17999999999999972,"[0.3938760947456242, 0.11230466384027271, 2.288206424971302]","[0.49661668935939957, 0.09638312657866935, 2.3485030637267847]","[0.3132011326372281, -0.03641481546417158, 0.447026211730257]","[-0.028710636375428967, -0.13781290234765092, 0.4030270148372971]","[-0.049354841577440155, 0.14668320333876714, 0.00124876656535445, -0.9879411678120906]","[[0.9569461298853947, -0.012011636727910648, -0.28995201576184043], [-0.016946468323514523, 0.9951062533945705, -0.09715301349033682], [0.2897054850578394, 0.09788570581045099, 0.9520774479469958]]","[0.2197600935345248, -0.8779555993603294, -0.010656045546525444]",[0.5270022646698875],"[-0.0647189749155309, 0.18707649435292475, 0.0, -0.980209509551661]",[0.4565762762162905],"[-1.835509042173518, -0.3806172020973735, 1.9121775598980655]","[996.2983897335441, 1216.3247173559466, 1020.4713452915139, 1204.7369922192509]"
