,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.0,"[-0.27634721849776034, -0.01219004746553467, 2.226615723882764]","[0.0, 0.0, 2.24]","[0.016300201054200485, -0.007126404691401496, 0.05750581385014707]","[0.0, 0.0, 0.0]","[0.006358642878412099, -0.0628977389990752, 0.0029881174060998696, -0.9979951761559489]","[[0.9920697495529702, 0.0051643649938412075, 0.12558128096731422], [-0.006764142034459978, 0.9999011360168515, 0.01231589818169238], [-0.1255052794814576, -0.013067681496522232, 0.9920067425657252]]","[-0.0029065130451654646, 0.1295360763943001, -0.008857737651823953]",[0.42837908698502847],"[0.008541965839864643, -0.0850265370383351, 0.0, -0.9963419358540762]",[0.4323870238883031],"[-3.227089242537914, -0.31648428992117283, 0.44582893707455185]","[827.6827301841533, 1019.5617961388368, 833.5234479341739, 996.0122626973716]"
1,0.019999999999999574,"[-0.27594646641065773, -0.012127231577260169, 2.2292130847083578]","[0.0, 0.0, 2.24]","[0.009565824270734238, -0.00880064810104771, 0.05806043746067592]","[0.0, 0.0, 0.0]","[0.006362971161368683, -0.06442468980582193, 0.003103567169883574, -0.9978973075734844]","[[0.9916793510786553, 0.005374217758771419, 0.1286179448137719], [-0.00701394753202969, 0.9998994575878073, 0.012299290875772508], [-0.12853895318017453, -0.013099076284617636, 0.9916176405330105]]","[0.004412138756211911, 0.15164228270240185, -0.01172674925404623]",[0.42821300093047915],"[0.008894151856405281, -0.08668182824277935, 0.0, -0.9961962318306866]",[0.4323870238883031],"[-3.3038416247932187, -0.31593499032854727, 0.46570728162397046]","[846.6860517192245, 999.3702978837025, 841.7067415318039, 990.4739693158243]"
2,0.03999999999999915,"[-0.27568996945364527, -0.01215492213854442, 2.231207481382182]","[0.0, 0.0, 2.24]","[0.006798208219142566, -0.006504869387038467, 0.06396835698540985]","[0.0, 0.0, 0.0]","[0.006306055845537483, -0.06573483080669001, 0.0031853377057774646, -0.9978120530806321]","[[0.9913374452558293, 0.005527681683786035, 0.13122218680718176], [-0.0071857917400418156, 0.9999000485375436, 0.012165741789850854], [-0.13114183913734365, -0.01300329233045666, 0.991278205327775]]","[0.008185362584990129, 0.15673948152380068, -0.010514182152735259]",[0.4273216860819928],"[0.008456379020444302, -0.08768927172992327, 0.0, -0.9961119385259503]",[0.4323870238883031],"[-3.501551122069706, -0.09694079705475411, 1.3678783285974347]","[846.4190572935864, 999.9636451871809, 830.4925012179169, 997.3567031487556]"
3,0.05999999999999872,"[-0.2753647930892716, -0.012266094304263215, 2.234288003217749]","[0.0, 0.0, 2.24]","[0.007461035333599599, -0.005891779448275705, 0.06783744374046248]","[0.0, 0.0, 0.0]","[0.006342682254188092, -0.06774304758476044, 0.0033311185353631693, -0.9976769330947206]","[[0.9907992756006975, 0.00578741499675125, 0.13521360835854873], [-0.007506105499793168, 0.9998970573564846, 0.0122045753150022], [-0.13512909545286533, -0.01310721580080854, 0.9907410090657356]]","[0.004234336467891967, 0.1510990354945848, -0.009698207799864373]",[0.4265001688711945],"[0.008377238663261684, -0.08797054578917468, 0.0, -0.9960878005522656]",[0.4323870238883031],"[-3.0890566061903817, -0.17257314784011246, 0.27684847447995153]","[840.6863651283343, 1004.2425993328244, 834.3559094258904, 989.3927699362555]"
4,0.0799999999999983,"[-0.2750892951584895, -0.012351046850130977, 2.236694136245227]","[0.0, 0.0, 2.24]","[0.011972913719419538, -0.0033634627712002805, 0.059432832143235234]","[0.0, 0.0, 0.0]","[0.006469073009208712, -0.06926246725018445, 0.0034385463192668957, -0.9975714284445354]","[[0.9903814907840967, 0.005964263212088812, 0.1382330051990885], [-0.007756519041846295, 0.9998923717120655, 0.012430400401363716], [-0.13814402837034895, -0.013383049208669577, 0.9903214401744792]]","[-0.008581832305529636, 0.14848931770411306, -0.007654147920869525]",[0.42725245324852035],"[0.00786720887565863, -0.08713445563684058, 0.0, -0.9961652213431812]",[0.4323870238883031],"[-2.832312815478132, 0.30930862531575504, -0.79712488230712]","[832.9315181792492, 1009.7327831261049, 835.240179047202, 986.6168937369266]"
5,0.10000000000000142,"[-0.2747614255133236, -0.012352142903270564, 2.2388972627571677]","[-2.780758474922466e-11, 1.1117235615393563e-11, 2.239999999989723]","[0.017349254275536144, 0.0036520995427424224, 0.05020348836223085]","[3.49529818344266e-08, -1.3973438079430282e-08, 1.2574844749572498e-08]","[0.006681071123200415, -0.07054727796474518, 0.0035558346740137926, -0.9974796110149432]","[[0.9900206487134117, 0.006151082411676147, 0.14078645633359305], [-0.008036407938198754, 0.9998852121471752, 0.012826755535977579], [-0.14069142919615535, -0.0138301733645549, 0.989956663211163]]","[-0.019596106276294555, 0.1380060921704778, -0.008192944863620788]",[0.42808823782233346],"[0.0064194528305438975, -0.08608816813422311, 0.0, -0.996266315438023]",[0.4323870238883031],"[-2.9266723432880313, 0.9043544928817521, -0.3716574226035334]","[831.366721536883, 1011.5214687102472, 829.9519490940617, 989.516374015523]"
6,0.120000000000001,"[-0.2743755775562563, -0.012247478604674884, 2.2408632848352785]","[-2.020267662662292e-08, 8.084700757125505e-09, 2.239999992705184]","[0.021406388468448306, 0.012851135576876902, 0.045727948620330305]","[-3.839678947879104e-06, 1.5369891096893006e-06, -1.3875411025290346e-06]","[0.006860140998233926, -0.07168734923749416, 0.00364016430910099, -0.9973968419821754]","[[0.9896951950936365, 0.006277806125269415, 0.1430514155599343], [-0.008244947419504803, 0.999879224106002, 0.013162658474165163], [-0.14295152739826564, -0.014206473394598702, 0.9896275736169997]]","[-0.02554865780047232, 0.1407695347707716, -0.007208974694159287]",[0.428315774797811],"[0.0045478108215622455, -0.08535159653234498, 0.0, -0.996340497227027]",[0.4323870238883031],"[-3.50786309117321, 0.30679006144378945, -0.2979064904805995]","[824.8977258326141, 1016.70377540521, 838.0138531149134, 984.8148455762841]"
7,0.14000000000000057,"[-0.2739200717152305, -0.012090294037051894, 2.2427399937531804]","[-2.6028717903182186e-07, 1.0416228330706355e-07, 2.239999906029133]","[0.020415256423093227, 0.011836268749901908, 0.03875265616135724]","[-5.1863229681898054e-05, 2.075932011926088e-05, -1.873842961438655e-05]","[0.007157480838810368, -0.0729162536702423, 0.0037584768251563553, -0.9973052605515661]","[[0.9893381060584368, 0.006452904041813972, 0.14549332918180852], [-0.008540490795744354, 0.9998692070931271, 0.013728278486491578], [-0.14538572427837182, -0.014824494684878889, 0.9892638992906113]]","[-0.035961296682403075, 0.1406249560102308, -0.008303784691844517]",[0.4287474592788449],"[0.005036568857304248, -0.08494746710650955, 0.0, -0.9963726869741575]",[0.4323870238883031],"[-3.7606131405208694, -1.0906255975897046, 0.26192288888940496]","[823.6513272287855, 1022.1532960570784, 856.0093761772121, 973.6957769822413]"
8,0.16000000000000014,"[-0.27329745835318464, -0.011883931710199497, 2.2452046275147124]","[-3.3039871910731157e-06, 1.3233309898263664e-06, 2.23999880362281]","[0.021286104737832167, 0.003563711541007344, 0.0412269580627175]","[-0.0003584505753941008, 0.00014360684538656311, -0.00012991548212735844]","[0.007627247468548691, -0.07447515706032747, 0.003909752819749115, -0.9971859950012325]","[[0.9888762483442726, 0.006661420605224493, 0.14859080849674558], [-0.008933582417857088, 0.9998529965747005, 0.01462920980145497], [-0.14847152588755727, -0.015793927622726463, 0.9887904708706027]]","[-0.037179944671187175, 0.12317623614105722, -0.01010070374310901]",[0.4270976604291592],"[0.007743436687693382, -0.08279831160487258, 0.0, -0.996535420814825]",[0.4323870238883031],"[-4.008047353619088, -1.580555617898359, 0.39198735608579227]","[818.4472675040689, 1032.6067152630042, 850.1896194535825, 973.0453532738179]"
9,0.17999999999999972,"[-0.2728060192350969, -0.011735668729948833, 2.247369830139195]","[-1.8114071168681757e-05, 7.2603757759835085e-06, 2.239993424498169]","[0.01807757317646344, -0.0036993013847245746, 0.03530259648668528]","[-0.0013537983667397007, 0.0005428660073571803, -0.0004922008443183993]","[0.007920697416956479, -0.07573294147965182, 0.0040061704948227495, -0.997088614387185]","[[0.9884969145609335, 0.006789298547450489, 0.15108837069540404], [-0.009188729403276067, 0.9998423965161123, 0.015188476273622742], [-0.15096144403824313, -0.01640207257619042, 0.9884035384698587]]","[-0.021060639885703378, 0.11179883606737497, -0.008248366727974929]",[0.4259780130613507],"[0.010920197359575992, -0.07973963173309236, 0.0, -0.9967539595607462]",[0.4323870238883031],"[-4.02060985941031, -0.720274509001636, 0.40535563826577814]","[834.5668883905525, 1008.8039894360735, 862.9033930780909, 964.3560247595192]"
