,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.0,"[0.5761562267491134, 0.16824864359492445, 2.169100043519697]","[0.7031969549578687, 0.18809833548028657, 2.1982963803461963]","[1.1966521036616602, 0.34812531640971556, -0.2011713664379445]","[0.6455053758886004, 0.27546018883487183, -0.11579477811408014]","[0.006221364698116532, 0.02229005172442518, 0.006749237008510292, -0.9997027321131887]","[[0.9989018593672063, 0.013771810436009429, -0.04448287228597636], [-0.013217112272339307, 0.9998181414215475, 0.012739912256399479], [0.044650830145432224, -0.012138148888319081, 0.9989155530101865]]","[0.2650773248064402, -1.867335241248567, 0.0033367758660888406]",[0.45116622352471025],"[-0.017761509063724007, 0.13738711914124443, 0.0, -0.9903571412508619]",[0.4479825544079594],"[1.1619802791172629, -0.3327916125660675, -0.15600264158093324]","[786.0400423911703, 1163.8132218991268, 762.4071569215935, 1122.4835070430445]"
1,0.020000000000003126,"[0.5986118371416165, 0.17504738703590522, 2.166562551026608]","[0.7154444296952122, 0.1935155737035355, 2.1959554748440477]","[1.1327124199565237, 0.34816571751098613, -0.19638597905214225]","[0.5894329675508776, 0.2693821222051964, -0.11919614042580612]","[0.003561889057769661, 0.0399606090626331, 0.006933843308822234, -0.9991591643309883]","[[0.9966867942605708, 0.014140696684413685, -0.07980462235313565], [-0.013571355659765668, 0.9998551207065642, 0.00767194939233245], [0.07990341267557557, -0.006563626985270852, 0.9967575765193137]]","[0.26221930415861777, -1.8334567239287036, -0.0011848675116771625]",[0.4549951553222787],"[-0.020733593597882016, 0.14444652176942044, 0.0, -0.9892931301092286]",[0.44799063955994983],"[2.10230797402267, -0.20210358633650194, -0.32012978194959274]","[778.2457281522096, 1176.1314077716854, 758.4982912608839, 1128.2525631086744]"
2,0.03999999999999915,"[0.621898297850662, 0.1825095713496493, 2.1642131858934626]","[0.7264941670179242, 0.19873831992544344, 2.193590672721507]","[1.0501512731332256, 0.34970492032619, -0.17095168510044623]","[0.5317257931399747, 0.2628531600498465, -0.12249028782110388]","[0.0004963516882691764, 0.05908149860474623, 0.007115089542463109, -0.9982259095129016]","[[0.9929139648112781, 0.01426358386273782, -0.11794630218680288], [-0.014146283056426066, 0.9998947190360465, 0.0018316825366728826], [0.11796042853362923, -0.0001502019251701682, 0.9930147210796758]]","[0.26848378910878895, -1.7979234841184548, -0.001338975527544009]",[0.4552479367927698],"[-0.02435458810077582, 0.14930123165607098, 0.0, -0.9884916090260116]",[0.44799686802938465],"[-9.338926597981233, -0.8711941973506996, 4.5857765471052865]","[762.9926671428592, 1193.6529600988888, 743.9890669024379, 1143.8340467384712]"
3,0.060000000000002274,"[0.6421845691744087, 0.18954215717134157, 2.1625915964274762]","[0.7361522911872301, 0.20373147789090537, 2.1912008311617406]","[0.9505181353358034, 0.33706567243315316, -0.13220917152021341]","[0.47235752887718596, 0.2558408646456178, -0.12565650878290874]","[-0.002359639994529138, 0.07693449534696638, 0.007341498079663911, -0.9970059624075869]","[[0.9880536428088362, 0.014275959292498301, -0.15344294773646552], [-0.015002110141216773, 0.9998803401556134, -0.0035755213876625816], [0.1533736545665114, 0.005834779187061244, 0.988150302195136]]","[0.26626638817839365, -1.7587681103362103, -0.00781505167106622]",[0.4525352631721991],"[-0.025343896395109772, 0.15148553865335534, 0.0, -0.9881344802662692]",[0.44800294456206846],"[-7.803219427082038, -1.0635501995398235, 2.7246052282950934]","[745.8713685610729, 1229.866695252439, 696.9325605603207, 1201.3600132073414]"
4,0.0799999999999983,"[0.6590197299767129, 0.1958741986736649, 2.161694839166663]","[0.7451014227218241, 0.20888738949197116, 2.1885873047734252]","[0.8689941261717467, 0.3340222969164783, -0.12540988128636377]","[0.4065100730180006, 0.24776545246005793, -0.12894369901802652]","[-0.004876836417546068, 0.09323585674814264, 0.007638891194569518, -0.9955933057948869]","[[0.9824785364347921, 0.014301065830796936, -0.1857244969225384], [-0.01611984991723874, 0.9998168193350254, -0.008286254251268103], [0.18557548243146899, 0.01113512851179423, 0.98254767468527]]","[0.2616873096466401, -1.7407603471483777, -0.0157153789346745]",[0.45393113635328425],"[-0.02797998320692236, 0.1554035112302385, 0.0, -0.9874539429849404]",[0.4480090210947523],"[-7.923056009929135, -0.2890146754149395, 4.032163796188698]","[715.9487678987131, 1263.537869658853, 676.2115752084785, 1219.3182066380384]"
5,0.10000000000000142,"[0.6766616883474647, 0.20314108302256415, 2.1612006723871118]","[0.752539678312421, 0.2136938624480034, 2.186022130484365]","[0.7566865334755914, 0.3277482112885773, -0.07500583309109862]","[0.3412627267736372, 0.23952722069476903, -0.13202265940055313]","[-0.007206266365192011, 0.1074552366241507, 0.00793245394934843, -0.9941486051818403]","[[0.976773827756314, 0.014223373943931113, -0.21376727397094528], [-0.01732077817372458, 0.9997632229623663, -0.012623431878774068], [0.2135386204665908, 0.016032966743323725, 0.9767958148577789]]","[0.2769333449351296, -1.668644619319843, -0.014952297067642544]",[0.4478740266744743],"[-0.030648659368767133, 0.1557935601879822, 0.0, -0.9873139835892081]",[0.44801509762743624],"[-8.092905064046287, -0.5033150426008749, 4.461146302213226]","[720.4983388111341, 1251.8545987185187, 683.5017489088417, 1200.9273715802594]"
6,0.11999999999999744,"[0.688976745596394, 0.20884812539276695, 2.1612305957039015]","[0.7588371824847764, 0.21862429149933796, 2.1832010455414905]","[0.6617365095782681, 0.32116658711739277, -0.06882006303315055]","[0.2688437852860558, 0.23006618207448204, -0.13520077000493919]","[-0.010284820409790847, 0.12442741843903918, 0.008288924047047954, -0.9921211631340141]","[[0.9688592911479892, 0.013887806627974597, -0.24706465040543302], [-0.01900666123877226, 0.9996121010050734, -0.01834483713354939], [0.24672365002457586, 0.022470314816795185, 0.9687851486099813]]","[0.27612959405749166, -1.5622381763149364, -0.01384208307482758]",[0.4480486832838112],"[-0.032691410162774374, 0.15681466952985812, 0.0, -0.9870864963484127]",[0.44802117416012005],"[-8.52740653332199, -0.6894578750646203, 3.413058323082357]","[711.6853286478378, 1265.4043020369666, 676.369050737789, 1211.8874608145284]"
7,0.14000000000000057,"[0.702566678746942, 0.2161095304169628, 2.1620586760647478]","[0.7636002503919989, 0.22308108851483038, 2.18051860692791]","[0.5301979987536457, 0.3096179343386048, -0.029079742648477507]","[0.19970373091815335, 0.2208358617586049, -0.13808594974715382]","[-0.013460912818860667, 0.14162246467573283, 0.00870895921426006, -0.98978847688427]","[[0.9597296566753751, 0.013427319651474959, -0.28058702828943216], [-0.021052790252243814, 0.9994811093291996, -0.0241801442555362], [0.28011810612652754, 0.029113681330271975, 0.9595189562687325]]","[0.27246399350605144, -1.4436814688014818, -0.015802868867297475]",[0.4414944831431074],"[-0.034473332486697025, 0.15259870576127826, 0.0, -0.9876866753081847]",[0.4480272506928039],"[-9.660747654313887, -1.235404602839138, 6.996375134754796]","[676.9671405977866, 1282.8864180258752, 624.9073736716028, 1242.5242343003474]"
8,0.1599999999999966,"[0.7109987820875483, 0.221551255760059, 2.1631085993047696]","[0.7667528817973521, 0.2273810639639464, 2.1777250985384016]","[0.41285655664492626, 0.2947569835206116, 0.005542415088822937]","[0.1274571741335193, 0.21090740635000257, -0.14088705323657244]","[-0.01598751214968897, 0.1529097348151301, 0.008997432127370303, -0.988063179762746]","[[0.9530621069614851, 0.012890770308612758, -0.30245665070713607], [-0.022669355281263202, 0.9993136798744789, -0.02884175426100779], [0.30188126448532676, 0.03434493410346109, 0.9527128134417855]]","[0.2703765497612423, -1.2814716792825074, -0.014261310141404169]",[0.4353560957213404],"[-0.0352817295181846, 0.15004908659019406, 0.0, -0.9880484634431589]",[0.4480333272254878],"[-7.823382850444997, -0.9849416335811846, 4.254134947300727]","[689.9457073112629, 1265.6959720668983, 640.808169541071, 1222.6845517605645]"
9,0.17999999999999972,"[0.718362282616263, 0.22758202741095604, 2.1648772833240613]","[0.7686604035285812, 0.2316366407138132, 2.1747877685901895]","[0.2935495924105716, 0.2847106121495847, 0.013070914861567206]","[0.051482854625607116, 0.20025337900764933, -0.14367185753577588]","[-0.0184833874680679, 0.16445524615152113, 0.009507291915915157, -0.9861606316821319]","[[0.9457185105056642, 0.01267205393122054, -0.3247100327769569], [-0.02483081407432073, 0.9991262952545896, -0.03332813005773849], [0.32400712493594136, 0.039582226186803265, 0.9452160164802237]]","[0.25954457325368424, -1.103543046455128, -0.019340301712550956]",[0.43216331949756753],"[-0.03697397800083474, 0.1455749108608993, 0.0, -0.9886552316110971]",[0.4480394037581716],"[-7.620105221160191, -0.01274733471168854, 5.404087875201384]","[683.8384008305686, 1258.7457361653494, 631.6284396988311, 1208.9988132843891]"
